繁體,簡體,拼音,詞例,定義,又作
簿,簿,bou⁶
部,部,bou⁶
埠,埠,bou⁶/fɐu⁶
貝,贝,bui³
背,背,bui³,背部，背後，背景，背面，背影，背光，背脊，背叛，背棄，背約，背陰，背離，違背，駝背，後背，手背，紙背，背對着，背著臉，背地裡，背著人，背山面海，背井離鄉，背道而馳，背信棄義，背水一戰，腹背受敵，芒刺在背，汗流浹背，人心向背，力透紙背,（名詞）背部
輩,辈,bui³
狽,狈,bui³
背,背,bui³,背債，背負，背包，背槍，背黑鍋，背包袱，背小孩，背責任，背起來，背得起，背負重任,（動詞）用脊背馱東西,揹
鋇,钡,bui³
褙,褙,bui³
杯,杯,bui¹,"","",盃
背,背,bui⁶,背書，背誦，背熟，背靜，很背，背運，背時，耳背，背聽，背台詞，手氣背，背街小巷,（動詞）默念，記憶，憑記憶讀出來；（形容詞）偏僻，聽力不好
悖,悖,bui⁶
焙,焙,bui⁶
本,本,bun²
畚,畚,bun²
苯,苯,bun²
半,半,bun³
般,般,bun¹,一般，那般，百般，萬般無奈，如此這般,種，樣，種類
搬,搬,bun¹
拌,拌,bun⁶
叛,叛,bun⁶
絆,绊,bun⁶
畔,畔,bun⁶
胖,胖,bun⁶
伴,伴,bun⁶
缽,钵,but⁸,"","",鉢，砵
荸,荸,but⁹
渤,渤,but⁹
撥,拨,but⁹
勃,勃,but⁹
脖,脖,but⁹
鵓,鹁,but⁹
馞,馞,but⁹
蔽,蔽,bɐi³
閉,闭,bɐi³
贔,赑,bɐi³
跛,跛,bɐi¹/bɔ²
敝,敝,bɐi⁶
弊,弊,bɐi⁶
陛,陛,bɐi⁶
斃,毙,bɐi⁶
狴,狴,bɐi⁶
幣,币,bɐi⁶
北,北,bɐk⁷
泵,泵,bɐm¹
乓,乓,bɐm¹/pɔŋ¹
品,品,bɐn²
稟,禀,bɐn²
擯,摈,bɐn³
殯,殡,bɐn³
鬢,鬓,bɐn³
儐,傧,bɐn³
奔,奔,bɐn¹
檳,槟,bɐn¹
賓,宾,bɐn¹
繽,缤,bɐn¹
濱,滨,bɐn¹
斌,斌,bɐn¹
彬,彬,bɐn¹
賁,贲,bɐn¹,賁張，賁門，虎賁,膈膜，橫隔膜
錛,锛,bɐn¹
笨,笨,bɐn⁶
不,不,bɐt⁷
筆,笔,bɐt⁷
畢,毕,bɐt⁷
鈈,钚,bɐt⁷
嗶,哔,bɐt⁷
篳,筚,bɐt⁷
蹕,跸,bɐt⁷
蓽,荜,bɐt⁷
潷,滗,bɐt⁷/bei³
拔,拔,bɐt⁹
鈸,钹,bɐt⁹
弼,弼,bɐt⁹
跋,跋,bɐt⁹
苾,苾,bɐt⁹
菝,菝,bɐt⁹
崩,崩,bɐŋ¹
鏰,镚,bɐŋ¹
繃,绷,bɐŋ¹,繃緊，繃帶，繃子，繃硬，繃亮，繃脆，繃直，緊繃，繃床，緊繃繃，繃場面，繃了一道縫兒,張緊，拉緊，包紮；裂開；（用於形容詞前表示程度深）非常，很,綳
膊,膊,bɔk⁸
博,博,bɔk⁸
搏,搏,bɔk⁸
駁,驳,bɔk⁸
亳,亳,bɔk⁸
欂,欂,bɔk⁸/bɔk⁹
縛,缚,bɔk⁸/fɔk⁸
鉑,铂,bɔk⁹
泊,泊,bɔk⁹,湖泊，水泊，血泊，梁山泊，羅布泊,湖
箔,箔,bɔk⁹
礴,礴,bɔk⁹
雹,雹,bɔk⁹
薄,薄,bɔk⁹
舶,舶,bɔk⁹/pak⁸
泊,泊,bɔk⁹/pak⁸,停泊，漂泊，泊位，淡泊,停船靠岸
簸,簸,bɔ³,簸箕,（名詞）
播,播,bɔ³
簸,簸,bɔ³/bɔ²,顛簸,（動詞）
波,波,bɔ¹
玻,玻,bɔ¹
菠,菠,bɔ¹
般,般,bɔ¹,般若,（梵文音譯詞）
坡,坡,bɔ¹/pɔ¹
綁,绑,bɔŋ²
膀,膀,bɔŋ²,肩膀，臂膀，翅膀
榜,榜,bɔŋ²
蒡,蒡,bɔŋ²
梆,梆,bɔŋ¹
幫,帮,bɔŋ¹
邦,邦,bɔŋ¹
浜,浜,bɔŋ¹
傍,傍,bɔŋ⁶
鎊,镑,bɔŋ⁶
磅,磅,bɔŋ⁶,磅秤，過磅，磅體重，磅一磅,稱重量的儀器；用磅秤稱重量；（量詞）英美製重量單位
啤,啤,bɛ¹
餅,饼,bɛŋ²,"",（語音）
柄,柄,bɛŋ³/bɪŋ³
病,病,bɛŋ⁶/bɪŋ⁶
唄,呗,bɛ⁶,去就去唄,（語氣助詞）表示讓步、勉強、顯而易見等
丙,丙,bɪŋ²
秉,秉,bɪŋ²
炳,炳,bɪŋ²
屏,屏,bɪŋ²,屏氣，屏息，屏除，屏棄，屏住呼吸,壓制，抑止，停止，排除
餅,饼,bɪŋ²,餅乾，餡餅
昺,昺,bɪŋ²
邴,邴,bɪŋ²
迸,迸,bɪŋ³
併,并,bɪŋ³/pɪŋ³
兵,兵,bɪŋ¹
冰,冰,bɪŋ¹
并,并,bɪŋ¹/bɪŋ³,并州,（地名）山西省太原市的別稱
乒,乒,bɪŋ¹/pɪŋ¹
並,并,bɪŋ⁶
卜,卜,bʊk⁷
曝,曝,bʊk⁹
僕,仆,bʊk⁹
瀑,瀑,bʊk⁹
濮,濮,bʊk⁹
蹼,蹼,bʊk⁹
甭,甭,bʊŋ²/bɐŋ²
歹,歹,dai²
帶,带,dai³
戴,戴,dai³
呆,呆,dai¹,呆子，書呆子，呆一會兒,發愣，死板，不靈活，不自然,獃
大,大,dai⁶
膽,胆,dam²
石,石,dam³,一石米,市制容量單位
擔,担,dam³,擔子，扁擔，重擔，貨郎擔，挑重擔，勇挑重擔，生活重擔,挑東西的工具；肩負的責任、工作、任務
擔,担,dam¹,擔米，擔柴，擔水，擔當，擔心，擔負，擔任，擔憂，擔保，擔待，負擔，承擔，分擔，擔風險，擔當重任，擔負責任,用肩膀挑，負責，負起，承當；憂慮，記掛，操心
耽,耽,dam¹
眈,眈,dam¹
儋,儋,dam¹
聃,聃,dam¹
氮,氮,dam⁶
淡,淡,dam⁶,淡忘，冷淡，平淡，淡月，淡季，淡淡地說,感情不深，不熱心；沒有意味；生意不興旺
澹,澹,dam⁶,澹災,消除
窞,窞,dam⁶
萏,萏,dam⁶
啖,啖,dam⁶
淡,淡,dam⁶/tam⁵,淡水，淡綠，淡酒，清淡,鹽份少，不鹹；某成分少，不濃
彈,弹,dan²,彈頭，彈丸，彈弓，彈道，彈藥，子彈，導彈，炮彈，炸彈，中彈，原子彈，手榴彈,（口語）彈弓或槍械發射的小丸；炸彈之類的爆炸物
旦,旦,dan³
誕,诞,dan³
癉,瘅,dan³,癉惡，卒癉，彰善癉惡,憎恨
單,单,dan¹,單薄，單獨，單純，單程，簡單，帳單，床單,一個，獨自，不複雜
鄲,郸,dan¹
丹,丹,dan¹
殫,殚,dan¹
癉,瘅,dan¹,癉瘧，癉熱,中醫指瘧疾的一種
撢,掸,dan⁵,撢子，撢土，撢衣服，雞毛撢子,拂塵用具，以雞毛或不條作成；用撢子掃去灰塵,撣
撣,掸,dan⁵,撣撣,儆戒；恭敬
蛋,蛋,dan⁶
但,但,dan⁶
彈,弹,dan⁶,彈射，彈性，彈力，彈簧，彈指，彈跳，彈頭，彈丸，彈弓，彈道，彈藥，動彈，反彈，子彈，導彈，炮彈，炸彈，中彈，彈棉花，原子彈，手榴彈,（名詞）彈弓或槍械發射的小丸；炸彈之類的爆炸物；（動詞）物體由緊縮到伸展產生力量
憚,惮,dan⁶
疍,疍,dan⁶
搭,搭,dap⁸
耷,耷,dap⁸
答,答,dap⁸
瘩,瘩,dap⁸
踏,踏,dap⁹
蹋,蹋,dap⁹
沓,沓,dap⁹
靼,靼,dat⁸
妲,妲,dat⁸/tan²
達,达,dat⁹
繨,繨,dat⁹
噠,哒,dat⁹
薘,荙,dat⁹
打,打,da²,打鼓，打掃，打更，打碎，打人，打架，打仗，打獵，打開，打賭，打算，敲打，拍打，攻打，毆打，打招呼，打擂台，打噴嚏，打呵欠，打草驚蛇，打抱不平，打退堂鼓，精打細算，一網打盡，趁火打劫，無精打采,拍，敲，捶，敲擊，拍打；也表示某些特定的動作、活動、行動等
打,打,da¹,一打雞蛋，一打鉛筆,（量詞）指十二個
地,地,dei⁶
嫡,嫡,dik⁷
的,的,dik⁷
滴,滴,dik⁷/dik⁹
迪,迪,dik⁹
狄,狄,dik⁹
翟,翟,dik⁹,墨翟,（古）長尾野雞的羽毛
滌,涤,dik⁹
敵,敌,dik⁹
荻,荻,dik⁹
頔,𬱖,dik⁹
點,点,dim²
店,店,dim³
玷,玷,dim³
惦,惦,dim³
踮,踮,dim³
掂,掂,dim¹
墊,垫,din²,墊子，椅墊，鞋墊，靠墊，草墊,（名詞）襯托的東西
典,典,din²
碘,碘,din²/din¹
墊,垫,din³,墊高，墊好，墊平，墊上，墊桌子,（動詞）襯托
顛,颠,din¹
巔,巅,din¹
癲,癫,din¹
靛,靛,din⁶
澱,淀,din⁶
電,电,din⁶
墊,垫,din⁶,墊錢，墊款,暫時替別人付款
佃,佃,din⁶
殿,殿,din⁶
甸,甸,din⁶
奠,奠,din⁶
疊,叠,dip⁹
碟,碟,dip⁹
蝶,蝶,dip⁹
喋,喋,dip⁹
牒,牒,dip⁹
諜,谍,dip⁹
鰈,鲽,dip⁹
跌,跌,dit⁸
耋,耋,dit⁹
迭,迭,dit⁹
秩,秩,dit⁹
瓞,瓞,dit⁹
屌,屌,diu²
弔,吊,diu³,弔唁，弔孝，弔喪,祭奠死者
吊,吊,diu³,懸吊，吊橋，吊銷,懸掛，懸掛的；收回，扣留
釣,钓,diu³
銱,铞,diu³
雕,雕,diu¹,"","",彫
貂,貂,diu¹
叼,叼,diu¹
鯛,鲷,diu¹
凋,凋,diu¹
刁,刁,diu¹
丟,丢,diu¹
碉,碉,diu¹
鵰,雕,diu¹
掉,掉,diu⁶
調,调,diu⁶,調查，調動，調職，調遣，調離，調配，調子，曲調，腔調，低調，強調，聲調，論調，情調，步調，單調
倒,倒,dou²,倒塌，倒向，倒霉，倒閉，倒換，倒茶，倒水，倒胃口，摔倒，跌倒，顛倒，倒垃圾，排山倒海,豎立的東西落下來；轉換，更換，調轉；使容器裡的東西出來
賭,赌,dou²
堵,堵,dou²
搗,捣,dou²
島,岛,dou²
睹,睹,dou²
倒,倒,dou³,倒是，倒車，倒立，倒數，倒退，倒序，倒過來，倒不如，喝倒彩，倒背如流，本末倒置,相反的，反面的，位置弄反了的；向後；跟意料相反
妒,妒,dou³
蠹,蠹,dou³
到,到,dou³
都,都,dou¹
嘟,嘟,dou¹
叨,叨,dou¹,叨念，叨叨，嘮叨，絮叨，念叨，磨叨，絮絮叨叨,羅嗦，話多
刀,刀,dou¹
盜,盗,dou⁶
稻,稻,dou⁶
杜,杜,dou⁶
導,导,dou⁶
蹈,蹈,dou⁶
度,度,dou⁶,度過，度假，度量，角度，溫度，長度，高度，進度，限度，制度，態度，風度，氣度，程度，再度，過度，年度，度量衡，度日如年，一年一度
渡,渡,dou⁶
悼,悼,dou⁶
道,道,dou⁶
鍍,镀,dou⁶
芏,芏,dou⁶
短,短,dyn²
鍛,锻,dyn³
煅,煅,dyn³
斷,断,dyn³,斷定，斷案，斷然，診斷，下斷語，當機立斷,判斷，決定，判定，一定，絕對
端,端,dyn¹
段,段,dyn⁶
緞,缎,dyn⁶
斷,断,dyn⁶,斷絕，斷電，斷交，斷奶，斷氣，割斷，截斷，繩子斷了,長形的東西折掉或從中間截開，隔絕，不繼續
籪,簖,dyn⁶
奪,夺,dyt⁹
㴓,㴓,dzai²
債,债,dzai³
齋,斋,dzai¹
齎,赍,dzai¹
寨,寨,dzai⁶
眥,眦,dzai⁶
砦,砦,dzai⁶
窄,窄,dzak⁸
嘖,啧,dzak⁸
責,责,dzak⁸
咋,咋,dzak⁸,咋舌,咬住
賾,赜,dzak⁸/dzak⁹
宅,宅,dzak⁹
擇,择,dzak⁹
澤,泽,dzak⁹
摘,摘,dzak⁹
躑,踯,dzak⁹
擲,掷,dzak⁹
謫,谪,dzak⁹
磔,磔,dzak⁹
翟,翟,dzak⁹,"",（姓）
斬,斩,dzam²
嶄,崭,dzam²
湛,湛,dzam³
蘸,蘸,dzam³
簪,簪,dzam¹,"","",簮
站,站,dzam⁶
鏨,錾,dzam⁶
暫,暂,dzam⁶
趲,趱,dzan²
盞,盏,dzan²
攢,攒,dzan²
讚,赞,dzan³
贊,赞,dzan³
瓚,瓒,dzan³
棧,栈,dzan⁶
綻,绽,dzan⁶
撰,撰,dzan⁶
賺,赚,dzan⁶
饌,馔,dzan⁶
攥,攥,dzan⁶
眨,眨,dzap⁸
咂,咂,dzap⁸
匝,匝,dzap⁸
砸,砸,dzap⁸
閘,闸,dzap⁹
集,集,dzap⁹
習,习,dzap⁹
雜,杂,dzap⁹
什,什,dzap⁹,什錦，什物，家什,各種各樣，雜樣
襲,袭,dzap⁹
隰,隰,dzap⁹
鍘,铡,dzap⁹/dzat⁸
札,札,dzat⁸
扎,扎,dzat⁸
軋,轧,dzat⁸,軋鋼，軋機，熱軋，冷軋,壓制鋼材的過程
紮,扎,dzat⁸,"","",紥
拶,拶,dzat⁸
爪,爪,dzau²
找,找,dzau²
抓,抓,dzau²/dza¹
罩,罩,dzau³
笊,笊,dzau³
嘲,嘲,dzau¹
咋,咋,dza²,咋辦，咋樣，咋回事,（方言）怎，怎麼
炸,炸,dza³
詐,诈,dza³
乍,乍,dza³
榨,榨,dza³,"","",搾
柞,柞,dza³,柞水,（地名）
蚱,蚱,dza³/dzak⁸
渣,渣,dza¹
糌,糌,dza¹
吒,吒,dza¹,哪吒，木吒，金吒,佛教的護法神名
咱,咱,dza¹
楂,楂,dza¹
齇,齇,dza¹
查,查,dza¹,"",（姓）
咋,咋,dza¹,咋呼，咋唬,（方言）吆喝，喊叫，炫耀，張揚
喳,喳,dza¹
挓,挓,dza¹
猹,猹,dza¹
諍,诤,dzaŋ³/dzɐŋ³
掙,挣,dzaŋ¹,"",（口語）
睜,睁,dzaŋ¹,"",（口語）
爭,争,dzaŋ¹,"",（口語）
猙,狰,dzaŋ¹,"",（口語）
琤,琤,dzaŋ¹,"",（口語）
掙,挣,dzaŋ⁶,掙錢，掙脫，掙開，掙命，掙揣,通過勞動獲取報酬；儘力擺脫
嵖,嵖,dza⁶
膪,膪,dza⁶
職,职,dzik⁷
稷,稷,dzik⁷
鯽,鲫,dzik⁷
即,即,dzik⁷
積,积,dzik⁷
織,织,dzik⁷
跡,迹,dzik⁷,"","",蹟
績,绩,dzik⁷
陟,陟,dzik⁷
漬,渍,dzik⁷/dzi³
磧,碛,dzik⁷/tsik⁷
瘠,瘠,dzik⁸
蹠,蹠,dzik⁸
炙,炙,dzik⁸/dzɛk⁸
脊,脊,dzik⁸/dzɛk⁸
直,直,dzik⁹
藉,藉,dzik⁹,狼藉，草藉，枕藉，慰藉，蘊藉，杯盤狼藉,墊，襯；墊在下面的東西；凌亂，雜亂的樣子；（書）踐踏，凌辱，侮辱
值,值,dzik⁹
席,席,dzik⁹
植,植,dzik⁹
殖,殖,dzik⁹
籍,籍,dzik⁹
寂,寂,dzik⁹
矽,矽,dzik⁹
汐,汐,dzik⁹
夕,夕,dzik⁹
埴,埴,dzik⁹
褯,褯,dzik⁹
蓆,蓆,dzik⁹/dzɛk⁹
借,借,dzik⁹/dzɛ³,借口,假托，利用
佔,占,dzim³
瞻,瞻,dzim¹
占,占,dzim¹
詹,詹,dzim¹
譫,谵,dzim¹
尖,尖,dzim¹
沾,沾,dzim¹
霑,沾,dzim¹,霑水，黃霑,（多用於人名）浸濕
漸,渐,dzim⁶
展,展,dzin²
輾,辗,dzin²
碾,碾,dzin²,碾米，碾碎,（俗）
剪,剪,dzin²
翦,翦,dzin²
搌,搌,dzin²
戩,戬,dzin²
闡,阐,dzin²/tsin²
箭,箭,dzin³
顫,颤,dzin³
濺,溅,dzin³
戰,战,dzin³
餞,饯,dzin³
薦,荐,dzin³
煎,煎,dzin¹
箋,笺,dzin¹
羶,膻,dzin¹,"","",羴
氈,毡,dzin¹,"","",氊
栴,栴,dzin¹
鸇,鹯,dzin¹
旃,旃,dzin¹
賤,贱,dzin⁶
楫,楫,dzip⁸
摺,折,dzip⁸
褶,褶,dzip⁸
囁,嗫,dzip⁸
輒,辄,dzip⁸
浹,浃,dzip⁸
接,接,dzip⁸
霅,霅,dzip⁸
唧,唧,dzit⁷
浙,浙,dzit⁸
節,节,dzit⁸
蜇,蜇,dzit⁸
癤,疖,dzit⁸
櫛,栉,dzit⁸
哲,哲,dzit⁸,"","",喆
婕,婕,dzit⁸
折,折,dzit⁸
截,截,dzit⁹
睫,睫,dzit⁹
捷,捷,dzit⁹
沼,沼,dziu²
剿,剿,dziu²
照,照,dziu³
詔,诏,dziu³
醮,醮,dziu³
曌,曌,dziu³
椒,椒,dziu¹
朝,朝,dziu¹,朝夕，朝氣，今朝，朝思暮想,早晨
焦,焦,dziu¹
礁,礁,dziu¹
蕉,蕉,dziu¹
招,招,dziu¹
召,召,dziu⁶,召喚，號召,呼喚，招致
趙,赵,dziu⁶
嚼,嚼,dziu⁶,倒嚼，反嚼，回嚼,反芻
子,子,dzi²
止,止,dzi²
只,只,dzi²,"","",祗
指,指,dzi²
紙,纸,dzi²
旨,旨,dzi²
紫,紫,dzi²
址,址,dzi²
籽,籽,dzi²
滓,滓,dzi²
梓,梓,dzi²
咫,咫,dzi²
姊,姊,dzi²
仔,仔,dzi²,仔細，仔密,小心，細心
祉,祉,dzi²
酯,酯,dzi²
趾,趾,dzi²
芷,芷,dzi²
秭,秭,dzi²
黹,黹,dzi²
致,致,dzi³
輊,轾,dzi³
至,至,dzi³
緻,致,dzi³
質,质,dzi³,質押，質當，人質,用人或財物作抵押品
誌,志,dzi³
志,志,dzi³
置,置,dzi³
摯,挚,dzi³
智,智,dzi³
痣,痣,dzi³
躓,踬,dzi³
贄,贽,dzi³
識,识,dzi³,標識，款識，博聞強識,標記，記號
恣,恣,dzi³/tsi³
蜘,蜘,dzi¹
脂,脂,dzi¹
支,支,dzi¹
枝,枝,dzi¹
姿,姿,dzi¹
咨,咨,dzi¹
滋,滋,dzi¹
孜,孜,dzi¹
茲,兹,dzi¹,今茲，來茲，茲啟者，茲事體大，念茲在茲,此，這個，現在，此時，此地
吱,吱,dzi¹,吱聲，咯吱，嘎吱，吱吱叫，吱吱響，不吱聲，吱嘍嘍，吱的一聲,（象聲詞）尖細的聲音，小動物的叫聲；發出聲音
輜,辎,dzi¹
肢,肢,dzi¹
芝,芝,dzi¹
齜,龇,dzi¹
諮,谘,dzi¹
之,之,dzi¹
知,知,dzi¹
貲,赀,dzi¹
資,资,dzi¹
鼒,鼒,dzi¹,"",上端口斂而口小的鼎
淄,淄,dzi¹
氏,氏,dzi¹,閼氏，月氏
祗,祗,dzi¹,祗仰，祗候，祗待，祗候光臨，祗請尊安,恭敬
鯔,鲻,dzi¹
梔,栀,dzi¹
孳,孳,dzi¹
仔,仔,dzi¹,仔肩,責任，負擔
卮,卮,dzi¹
粢,粢,dzi¹
呲,呲,dzi¹
胝,胝,dzi¹/dɐi¹
祀,祀,dzi⁶
巳,巳,dzi⁶
雉,雉,dzi⁶
字,字,dzi⁶
痔,痔,dzi⁶
俟,俟,dzi⁶,俟機，俟候,等待，等候
治,治,dzi⁶
自,自,dzi⁶
稚,稚,dzi⁶
飼,饲,dzi⁶
嗣,嗣,dzi⁶
耜,耜,dzi⁶
伺,伺,dzi⁶,伺機，伺便，伺探，窺伺,觀察，探察，偵候
彘,彘,dzi⁶
兕,兕,dzi⁶
豸,豸,dzi⁶/dzai⁶
寺,寺,dzi⁶/dzi²
峙,峙,dzi⁶/tsi⁵
組,组,dzou²
藻,藻,dzou²
蚤,蚤,dzou²
早,早,dzou²
棗,枣,dzou²
祖,祖,dzou²
駔,驵,dzou²,"",駿馬，壯馬
澡,澡,dzou²/tsou³
灶,灶,dzou³,"","",竈
遭,遭,dzou¹
租,租,dzou¹
糟,糟,dzou¹,"","",蹧
做,做,dzou⁶
造,造,dzou⁶,造型，造句，造紙，造船，造化，造反，造謠，製造，創造，構造，人造，改造，塑造，編造，捏造,生產，製作
皂,皂,dzou⁶
祚,祚,dzou⁶
慥,慥,dzou⁶/tsou³
轉,转,dzyn²,"",（及物動詞）
纂,纂,dzyn²
傳,传,dzyn²,傳記，自傳，外傳，別傳，列傳，經傳，紀傳體，不見經傳,（口語）記載某人一生事跡的文字
撙,撙,dzyn²
轉,转,dzyn³,"",（不及物動詞）
鑽,钻,dzyn³,鑽石，電鑽，鑽戒,（名詞）穿孔的工具；鑽石
鑽,钻,dzyn³/dzyn¹,鑽井，鑽孔，鑽研,（動詞）穿孔；深入研究
磚,砖,dzyn¹
顓,颛,dzyn¹
尊,尊,dzyn¹
專,专,dzyn¹
鱒,鳟,dzyn¹/dzyn³
鐫,镌,dzyn¹/dzœn³
傳,传,dzyn⁶,傳記，自傳，外傳，別傳，列傳，經傳，紀傳體，不見經傳,記載某人一生事跡的文字
輟,辍,dzyt⁸
拙,拙,dzyt⁸
啜,啜,dzyt⁸
茁,茁,dzyt⁸
咄,咄,dzyt⁸,咄咄逼人,（俗）斥責，呵叱
掇,掇,dzyt⁸
絕,绝,dzyt⁹
主,主,dzy²
煮,煮,dzy²
拄,拄,dzy²
渚,渚,dzy²
駐,驻,dzy³
蛀,蛀,dzy³
著,著,dzy³,土著,（俗）世居本地的人
註,注,dzy³
著,著,dzy³,著作，著名，著書，著者，著稱，著述，名著，原著，譯著，巨著，新著，大著，遺著，論著，編著，撰著，專著，顯著，卓著，昭著，著作權，著書立說，彰明較著，臭名昭著，見微知著,顯出，明顯；寫作；文章，書，小說等
注,注,dzy³
炷,炷,dzy³
鑄,铸,dzy³
侏,侏,dzy¹
諸,诸,dzy¹
朱,朱,dzy¹
銖,铢,dzy¹
誅,诛,dzy¹
茱,茱,dzy¹
珠,珠,dzy¹
豬,猪,dzy¹
蛛,蛛,dzy¹
株,株,dzy¹
洙,洙,dzy¹/sy⁴
住,住,dzy⁶
箸,箸,dzy⁶
鵲,鹊,dzœk⁸
