繁體,簡體,拼音,詞例,定義,又作
分,分,fɐn˥,分開，分別，分數，分裂，分明，分離，分出，分散，分隔，分辨，分割，分成，分手，分擔，分支，分局，分會，分校，分貝，分配，分鐘，分隊，分頭，區分，滿分，劃分，零分，分工作，分公司，一百分，百分之一，分清是非，分一杯羹，不分青紅皁白,把整體變成幾個局部的個體；辨別，區別，離別；（量詞）長度、時間、成績、錢等的單位
熏,熏,fɐn˥
燻,熏,fɐn˥
醺,醺,fɐn˥
葷,荤,fɐn˥
昏,昏,fɐn˥
酚,酚,fɐn˥
芬,芬,fɐn˥
吩,吩,fɐn˥
勳,勋,fɐn˥,"","",勛
棻,棻,fɐn˥
糞,粪,fɐn˧
訓,训,fɐn˧
粉,粉,fɐn˧˥
份,份,fɐn˨
分,分,fɐn˨,分量，部分，成分，身分，過分，本分，名分，緣分，情分，糖分，養分,整體中的局部,份
墳,坟,fɐn˨˩
焚,焚,fɐn˨˩
汾,汾,fɐn˨˩
憤,愤,fɐn˩˧
奮,奋,fɐn˩˧
忿,忿,fɐn˩˧
拂,拂,fɐt˥
惚,惚,fɐt˥
囫,囫,fɐt˥
弗,弗,fɐt˥
忽,忽,fɐt˥
窟,窟,fɐt˥
氟,氟,fɐt˥
笏,笏,fɐt˥
彿,佛,fɐt˥
伐,伐,fɐt˨
筏,筏,fɐt˨
佛,佛,fɐt˨
閥,阀,fɐt˨
乏,乏,fɐt˨
罰,罚,fɐt˨
否,否,fɐu˧˥,否認，否定，否決，否則，是否，可否，與否,不然，反對，不同意
剖,剖,fɐu˧˥/pʰɐu˧˥
阜,阜,fɐu˨
浮,浮,fɐu˨˩
涪,涪,fɐu˨˩
蜉,蜉,fɐu˨˩
攫,攫,fɔːk˧
霍,霍,fɔːk˧
藿,藿,fɔːk˧
矍,矍,fɔːk˧
玃,玃,fɔːk˧
方,方,fɔːŋ˥
荒,荒,fɔːŋ˥
芳,芳,fɔːŋ˥
慌,慌,fɔːŋ˥
坊,坊,fɔːŋ˥
肪,肪,fɔːŋ˥
邡,邡,fɔːŋ˥
謊,谎,fɔːŋ˥/fɔːŋ˧˥
況,况,fɔːŋ˧
放,放,fɔːŋ˧
恍,恍,fɔːŋ˧˥
幌,幌,fɔːŋ˧˥
紡,纺,fɔːŋ˧˥
訪,访,fɔːŋ˧˥
彷,仿,fɔːŋ˧˥,彷彿,好像，似乎
晃,晃,fɔːŋ˧˥
仿,仿,fɔːŋ˧˥,"","",倣
舫,舫,fɔːŋ˧˥
妨,妨,fɔːŋ˨˩
房,房,fɔːŋ˨˩
防,防,fɔːŋ˨˩
科,科,fɔː˥
蝌,蝌,fɔː˥
髁,髁,fɔː˥
課,课,fɔː˧
貨,货,fɔː˧
伙,伙,fɔː˧˥
火,火,fɔː˧˥
顆,颗,fɔː˧˥
夥,伙,fɔː˧˥
啡,啡,fɛː˥
複,复,fʊk˥
輻,辐,fʊk˥
覆,覆,fʊk˥
福,福,fʊk˥
幅,幅,fʊk˥
馥,馥,fʊk˥
蝮,蝮,fʊk˥
蝠,蝠,fʊk˥
腹,腹,fʊk˥
伏,伏,fʊk˨
袱,袱,fʊk˨
復,复,fʊk˨
服,服,fʊk˨
茯,茯,fʊk˨
宓,宓,fʊk˨,"",（姓）
豐,丰,fʊŋ˥
瘋,疯,fʊŋ˥
風,风,fʊŋ˥
烽,烽,fʊŋ˥
丰,丰,fʊŋ˥
楓,枫,fʊŋ˥
峰,峰,fʊŋ˥,"","",峯
鋒,锋,fʊŋ˥
蜂,蜂,fʊŋ˥
封,封,fʊŋ˥
犎,犎,fʊŋ˥
酆,酆,fʊŋ˥
諷,讽,fʊŋ˧
鳳,凤,fʊŋ˨
奉,奉,fʊŋ˨
俸,俸,fʊŋ˨/fʊŋ˧˥
逢,逢,fʊŋ˨˩
馮,冯,fʊŋ˨˩
縫,缝,fʊŋ˨˩,縫紉，縫補，縫上，裁縫,（動詞）用針線連結
縫,缝,fʊŋ˨˩/fʊŋ˨,縫子，縫隙，裂縫，門縫,（名詞）空隙，細長的口子；接合的地方
揩,揩,haːi˥
嗨,嗨,haːi˥
咳,咳,haːi˥,"",（歎詞）表示驚訝、惋惜、後悔
懈,懈,haːi˨
械,械,haːi˨
解,解,haːi˨,解縣,（姓、地名）
瀣,瀣,haːi˨
薤,薤,haːi˨
嗐,嗐,haːi˨
邂,邂,haːi˨/haːi˩˧
孩,孩,haːi˨˩
諧,谐,haːi˨˩
骸,骸,haːi˨˩
鞋,鞋,haːi˨˩
駭,骇,haːi˩˧
獬,獬,haːi˩˧
蟹,蟹,haːi˩˧
赫,赫,haːk˥
嚇,吓,haːk˧
客,客,haːk˧
喊,喊,haːm˧
陷,陷,haːm˨
餡,馅,haːm˨
函,函,haːm˨˩
涵,涵,haːm˨˩
鹹,咸,haːm˨˩
咸,咸,haːm˨˩
銜,衔,haːm˨˩
啣,啣,haːm˨˩
檻,槛,haːm˩˧
菡,菡,haːm˩˧/aːm˩˧
限,限,haːn˨
閒,闲,haːn˨˩,"","",閑
癇,痫,haːn˨˩
嫺,娴,haːn˨˩,"","",嫻
呷,呷,haːp˧
嗑,嗑,haːp˧,嗑破，嗑瓜子,咬有殼等的硬東西
掐,掐,haːp˧
匣,匣,haːp˨
柙,柙,haːp˨
篋,箧,haːp˨
狎,狎,haːp˨
峽,峡,haːp˨
狹,狭,haːp˨
俠,侠,haːp˨/hɐp˨
硤,硖,haːp˨/kiːp˧
哮,哮,haːu˥
敲,敲,haːu˥
烤,烤,haːu˥/haːu˧˥
孝,孝,haːu˧
考,考,haːu˧˥,"","",攷
巧,巧,haːu˧˥
拷,拷,haːu˧˥
栲,栲,haːu˧˥
校,校,haːu˨,校長，校園，校址，校舍，學校，母校，夜校,教學的地方
効,効,haːu˨
效,效,haːu˨
傚,傚,haːu˨
夯,夯,haːŋ˥
坑,坑,haːŋ˥
行,行,haːŋ˨˩,"",走（用於口語）
哈,哈,haː˥
蝦,虾,haː˥
夏,夏,haː˨
下,下,haː˨
暇,暇,haː˨
廈,厦,haː˨,"","",厦
遐,遐,haː˨˩
瑕,瑕,haː˨˩
蛤,蛤,haː˨˩,蛤蟆，癩蛤蟆
霞,霞,haː˨˩
嘿,嘿,hei˥
烯,烯,hei˥
禧,禧,hei˥
熙,熙,hei˥
嬉,嬉,hei˥
曦,曦,hei˥
犧,牺,hei˥
稀,稀,hei˥
羲,羲,hei˥
醯,醯,hei˥
欷,欷,hei˥
希,希,hei˥
嘻,嘻,hei˥
唏,唏,hei˥
欺,欺,hei˥
熹,熹,hei˥
浠,浠,hei˥
娸,娸,hei˥
豨,豨,hei˥
晞,晞,hei˥
憩,憩,hei˧
戲,戏,hei˧
器,器,hei˧
汽,汽,hei˧
棄,弃,hei˧
氣,气,hei˧
喜,喜,hei˧˥
豈,岂,hei˧˥
起,起,hei˧˥
囍,囍,hei˧˥
謙,谦,hiːm˥
芡,芡,hiːm˧
欠,欠,hiːm˧
險,险,hiːm˧˥
獫,猃,hiːm˧˥
掀,掀,hiːn˥
牽,牵,hiːn˥
軒,轩,hiːn˥
騫,骞,hiːn˥
獻,献,hiːn˧
憲,宪,hiːn˧
遣,遣,hiːn˧˥
顯,显,hiːn˧˥
譴,谴,hiːn˧˥
蜆,蚬,hiːn˧˥
繾,缱,hiːn˧˥
脅,胁,hiːp˧
歉,歉,hiːp˧
協,协,hiːp˧
怯,怯,hiːp˧
挾,挟,hiːp˧/haːp˨
愜,惬,hiːp˨
勰,勰,hiːp˨
歇,歇,hiːt˧
蠍,蝎,hiːt˧
僥,侥,hiːu˥
鴞,鸮,hiːu˥
驍,骁,hiːu˥
梟,枭,hiːu˥
囂,嚣,hiːu˥
橇,橇,hiːu˥/tsʰɵy˧
竅,窍,hiːu˧/kʰiːu˧
曉,晓,hiːu˧˥
蒿,蒿,hou˥
薅,薅,hou˥
犒,犒,hou˧
好,好,hou˧,好客，好奇，嗜好，癖好,（動詞）喜愛，喜歡
耗,耗,hou˧
好,好,hou˧˥,好處，好聽，好漢，良好,（形容詞）有利的，使人滿意的
昊,昊,hou˨
浩,浩,hou˨
號,号,hou˨,號碼，符號，記號,（名詞）標記，名稱
鎬,镐,hou˨,"",（地名）西周的國都
灝,灏,hou˨
皓,皓,hou˨
顥,颢,hou˨
澔,澔,hou˨
晧,晧,hou˨
蠔,蠔,hou˨˩
豪,豪,hou˨˩
嗥,嗥,hou˨˩
壕,壕,hou˨˩
毫,毫,hou˨˩
嚎,嚎,hou˨˩
號,号,hou˨˩,號叫，號啕，號哭，呼號,（動詞）高聲叫喊
濠,濠,hou˨˩
圈,圈,hyːn˥,圈子，圈套，圈點，圈選，圓圈，花圈，繞圈，項圈,環形的東西
萱,萱,hyːn˥
喧,喧,hyːn˥
暄,暄,hyːn˥
壎,埙,hyːn˥,"","",塤
禤,禤,hyːn˥
禢,禢,hyːn˥
煊,煊,hyːn˥
勸,劝,hyːn˧
券,券,hyːn˧,獎券，贈券
絢,绚,hyːn˧
綣,绻,hyːn˧
犬,犬,hyːn˧˥
畎,畎,hyːn˧˥
血,血,hyːt˧
哼,哼,hŋ̩˨,"",（歎詞）表示不滿，懷疑，輕蔑，威脅，怨恨
香,香,hœːŋ˥
鄉,乡,hœːŋ˥
向,向,hœːŋ˧
嚮,向,hœːŋ˧
享,享,hœːŋ˧˥
響,响,hœːŋ˧˥
饗,飨,hœːŋ˧˥
餉,饷,hœːŋ˧˥
晌,晌,hœːŋ˧˥
蠁,蠁,hœːŋ˧˥
靴,靴,hœː˥
係,系,hɐi˨
繫,系,hɐi˨
系,系,hɐi˨
奚,奚,hɐi˨˩
兮,兮,hɐi˨˩
鼷,鼷,hɐi˨˩
蹊,蹊,hɐi˨˩,蹊徑，山蹊,小路，路徑
克,克,hɐk˥
刻,刻,hɐk˥
黑,黑,hɐk˥
氪,氪,hɐk˥
剋,克,hɐk˥
可,可,hɐk˥,可汗
勘,勘,hɐm˥,勘誤，勘正，校勘,校對，核定
蚶,蚶,hɐm˥
龕,龛,hɐm˥
戡,戡,hɐm˥
堪,堪,hɐm˥
憨,憨,hɐm˥
坩,坩,hɐm˥
崁,崁,hɐm˧
磡,磡,hɐm˧
勘,勘,hɐm˧,勘探，勘驗，勘測，推勘,細查，審查
瞰,瞰,hɐm˧
嵌,嵌,hɐm˧/hɐm˨
砍,砍,hɐm˧˥
坎,坎,hɐm˧˥
撼,撼,hɐm˨
憾,憾,hɐm˨
含,含,hɐm˨˩
酣,酣,hɐm˨˩
晗,晗,hɐm˨˩
頷,颔,hɐm˩˧
很,很,hɐn˧˥
狠,狠,hɐn˧˥
懇,恳,hɐn˧˥
墾,垦,hɐn˧˥
恨,恨,hɐn˨
痕,痕,hɐn˨˩
恰,恰,hɐp˥
洽,洽,hɐp˥
合,合,hɐp˨,"","",閤
磕,磕,hɐp˨
盒,盒,hɐp˨
瞌,瞌,hɐp˨
闔,阖,hɐp˨
頜,颌,hɐp˨
嗑,嗑,hɐp˨,噬嗑,六十四卦之一
郃,郃,hɐp˨/kɐp˧
乞,乞,hɐt˥
瞎,瞎,hɐt˨
轄,辖,hɐt˨
閡,阂,hɐt˨
劾,劾,hɐt˨
檄,檄,hɐt˨
齕,龁,hɐt˨
紇,纥,hɐt˨,回紇,古代少數民族名稱
搳,搳,hɐt˨
核,核,hɐt˨,核子，核心，核對，核定，核實，核彈，核仁，核戰，核桃，核武，核爆，核算，核能，核計，核辦，核電，核准，考核，評核，審核，地核，果核，查核，稽核，結核，綜核，核潛艇，核試驗，核分裂，核反應，細胞核，肺結核，原子核,對照，審定，考查，審查；物體的中心部分；原子核的簡稱
覈,核,hɐt˨
葜,葜,hɐt˨
齁,齁,hɐu˥
吼,吼,hɐu˧
口,口,hɐu˧˥
後,后,hɐu˨
逅,逅,hɐu˨
后,后,hɐu˨
鱟,鲎,hɐu˨
候,候,hɐu˨
堠,堠,hɐu˨
猴,猴,hɐu˨˩
侯,侯,hɐu˨˩
喉,喉,hɐu˨˩
篌,篌,hɐu˨˩
瘊,瘊,hɐu˨˩
厚,厚,hɐu˩˧
鏗,铿,hɐŋ˥
哼,哼,hɐŋ˥,哼唱，哼歌，哼出來,（動詞）低聲歌唱
亨,亨,hɐŋ˥
肯,肯,hɐŋ˧˥
啃,啃,hɐŋ˧˥
悻,悻,hɐŋ˨
杏,杏,hɐŋ˨
幸,幸,hɐŋ˨
倖,幸,hɐŋ˨
婞,婞,hɐŋ˨
行,行,hɐŋ˨,言行，品行，罪行，德行，操行，道行，行將，不行，行了，真行,足以表明品質的舉止行動；可以；能幹；快要；僧道修行的功夫
桁,桁,hɐŋ˨˩
恆,恒,hɐŋ˨˩
衡,衡,hɐŋ˨˩
姮,姮,hɐŋ˨˩
珩,珩,hɐŋ˨˩
行,行,hɐŋ˨˩,行走，行軍，行李，行銷，行灶，行商，行營，行禮，行文，行裝，行篋，行頭，進行，通行，發行，風行，另行，即行，舉行，實行，日行千里，見機行事,走
行,行,hɐŋ˨˩/hɔːŋ˨˩,行輩，排行,兄弟姐妹長幼的次序
開,开,hɔːi˥
咍,咍,hɔːi˥
鐦,锎,hɔːi˥
愷,恺,hɔːi˧˥
海,海,hɔːi˧˥
鎧,铠,hɔːi˧˥
凱,凯,hɔːi˧˥
闓,闿,hɔːi˧˥
剴,剀,hɔːi˧˥
塏,垲,hɔːi˧˥
害,害,hɔːi˨
亥,亥,hɔːi˨
氦,氦,hɔːi˨
頦,颏,hɔːi˨˩/hɔːi˩˧
殼,壳,hɔːk˧
貉,貉,hɔːk˨
鶴,鹤,hɔːk˨
學,学,hɔːk˨
看,看,hɔːn˥,看門，看家，看羊，看管，看守，看護，看押，看待,守護，監視，監管，照管，照顧，放牧
頇,顸,hɔːn˥
看,看,hɔːn˧,看見，看書，看病，看望，看戲，看脈，察看，觀看，好看，看電影，看得起，試試看，看風使舵，刮目相看，另眼相看,瞧，注視，觀察，拜訪，探望
漢,汉,hɔːn˧
侃,侃,hɔːn˧˥
罕,罕,hɔːn˧˥
刊,刊,hɔːn˧˥/hɔːn˥
悍,悍,hɔːn˨
瀚,瀚,hɔːn˨
捍,捍,hɔːn˨
汗,汗,hɔːn˨,汗水，流汗
翰,翰,hɔːn˨
焊,焊,hɔːn˨
韓,韩,hɔːn˨˩
邯,邯,hɔːn˨˩
鼾,鼾,hɔːn˨˩
寒,寒,hɔːn˨˩
汗,汗,hɔːn˨˩,可汗
旱,旱,hɔːn˩˧
渴,渴,hɔːt˧
喝,喝,hɔːt˧
鞨,鞨,hɔːt˧
褐,褐,hɔːt˧
匡,匡,hɔːŋ˥
康,康,hɔːŋ˥
糠,糠,hɔːŋ˥
腔,腔,hɔːŋ˥
劻,劻,hɔːŋ˥
誆,诓,hɔːŋ˥
眶,眶,hɔːŋ˥/kʰwaːŋ˥
筐,筐,hɔːŋ˥/kʰwaːŋ˥
慷,慷,hɔːŋ˧˥/kʰɔːŋ˧˥
項,项,hɔːŋ˨
行,行,hɔːŋ˨,行行，樹行子,剛強的樣子；排成行列的樹木
巷,巷,hɔːŋ˨/hɔːŋ˧˥
行,行,hɔːŋ˨˩,行列，行家，行市，同行，外行，車行，單行，雙行，幾行字,行列，排；職業
航,航,hɔːŋ˨˩
杭,杭,hɔːŋ˨˩
降,降,hɔːŋ˨˩,降服，投降,向敵人屈服
吭,吭,hɔːŋ˨˩
沆,沆,hɔːŋ˨˩
鴴,鸻,hɔːŋ˨˩/hɐŋ˨˩
苛,苛,hɔː˥
訶,诃,hɔː˥
呵,呵,hɔː˥
可,可,hɔː˧˥,可以，寧可
坷,坷,hɔː˧˥
岢,岢,hɔː˧˥
嗬,嗬,hɔː˧˥
賀,贺,hɔː˨
荷,荷,hɔː˨,負荷，荷載，荷重，電荷，感荷,扛，背，負擔，承受
何,何,hɔː˨˩
河,河,hɔː˨˩
荷,荷,hɔː˨˩,荷花，荷塘，荷包，荷蘭，薄荷，荷爾蒙,蓮花
吃,吃,hɛːk˧,"","",喫
兄,兄,hɪŋ˥
卿,卿,hɪŋ˥
興,兴,hɪŋ˥,興建，興奮，興盛，興旺，興隆，興衰，興起，振興，復興，中興，時興，新興,發動，創辦，昌盛，旺盛，流行
馨,馨,hɪŋ˥
氫,氢,hɪŋ˥
輕,轻,hɪŋ˥/hɛːŋ˥
磬,磬,hɪŋ˧
罄,罄,hɪŋ˧
興,兴,hɪŋ˧,興趣，興致，高興，掃興，雅興，助興，盡興，即興，乘興，敗興，興高采烈,喜愛的情緒
慶,庆,hɪŋ˧
脛,胫,hɪŋ˩˧/kɪŋ˧
墟,墟,hɵy˥
吁,吁,hɵy˥
噓,嘘,hɵy˥
虛,虚,hɵy˥
歔,歔,hɵy˥
盱,盱,hɵy˥
去,去,hɵy˧
詡,诩,hɵy˧˥
許,许,hɵy˧˥
栩,栩,hɵy˧˥
煦,煦,hɵy˧˥/hɵy˧
哭,哭,hʊk˥
酷,酷,hʊk˨
槲,槲,hʊk˨
匈,匈,hʊŋ˥
凶,凶,hʊŋ˥
箜,箜,hʊŋ˥
崆,崆,hʊŋ˥
胸,胸,hʊŋ˥
洶,汹,hʊŋ˥
兇,凶,hʊŋ˥,"","",凶
空,空,hʊŋ˥
哄,哄,hʊŋ˥,哄傳，哄動，哄然，哄勸，亂哄哄，哄堂大笑，哄抬物價,許多人同時發出喧譁聲或大笑聲
控,控,hʊŋ˧
哄,哄,hʊŋ˧,哄騙，哄人，哄孩子,逗弄，用假話騙人
烘,烘,hʊŋ˧/hʊŋ˥
鬨,哄,hʊŋ˧/hʊŋ˨,鬨鬧，起鬨，一鬨而散,喧鬧，笑鬧
恐,恐,hʊŋ˧˥
孔,孔,hʊŋ˧˥
蕻,蕻,hʊŋ˨,菜蕻,茂盛的樣子
汞,汞,hʊŋ˨/hʊŋ˧,"","",銾
虹,虹,hʊŋ˨˩
熊,熊,hʊŋ˨˩
洪,洪,hʊŋ˨˩
雄,雄,hʊŋ˨˩
鴻,鸿,hʊŋ˨˩
紅,红,hʊŋ˨˩,紅色，臉紅,像鮮血一樣的顏色
蕻,蕻,hʊŋ˨˩,雪裡蕻,一種花
訌,讧,hʊŋ˨˩/hʊŋ˧
也,也,jaː˩˧
淹,淹,jiːm˥
閹,阉,jiːm˥
奄,奄,jiːm˥
懨,恹,jiːm˥
醃,腌,jiːm˥/jiːp˧
饜,餍,jiːm˧
厭,厌,jiːm˧
魘,魇,jiːm˧˥
掩,掩,jiːm˧˥
揜,揜,jiːm˧˥
驗,验,jiːm˨
艷,艳,jiːm˨
灧,滟,jiːm˨,"","",灩
焰,焰,jiːm˨,"","",燄
鹽,盐,jiːm˨˩
炎,炎,jiːm˨˩
嚴,严,jiːm˨˩
髯,髯,jiːm˨˩
蚺,蚺,jiːm˨˩
嫌,嫌,jiːm˨˩
閻,阎,jiːm˨˩
閆,闫,jiːm˨˩
簷,檐,jiːm˨˩/siːm˨˩
冉,冉,jiːm˩˧
儼,俨,jiːm˩˧
苒,苒,jiːm˩˧
染,染,jiːm˩˧
琰,琰,jiːm˩˧
咽,咽,jiːn˥,咽喉，咽頭,食道的上端部分
煙,烟,jiːn˥,煙草，抽煙,"",菸
湮,湮,jiːn˥
焉,焉,jiːn˥,焉能如此，焉知非福，焉得虎子,（疑問詞）豈，怎麼，如何
胭,胭,jiːn˥
蔫,蔫,jiːn˥
煙,烟,jiːn˥,煙火，冒煙
燕,燕,jiːn˥,燕京,（姓，地名）
嫣,嫣,jiːn˥
鄢,鄢,jiːn˥
閼,阏,jiːn˥,閼氏,匈奴人妻或妾的稱號
燕,燕,jiːn˧,燕子，家燕
宴,宴,jiːn˧
嚥,咽,jiːn˧,嚥氣，吞嚥，嚥口水，狼吞虎嚥，細嚼慢嚥,吞
嬿,嬿,jiːn˧
偃,偃,jiːn˧˥
演,演,jiːn˧˥
鼴,鼹,jiːn˧˥
堰,堰,jiːn˧˥
兗,兖,jiːn˧˥
衍,衍,jiːn˧˥/hiːn˧˥
莧,苋,jiːn˨
硯,砚,jiːn˨
現,现,jiːn˨
彥,彦,jiːn˨
讞,谳,jiːn˨
諺,谚,jiːn˨
唁,唁,jiːn˨
延,延,jiːn˨˩
燃,燃,jiːn˨˩
筵,筵,jiːn˨˩
妍,妍,jiːn˨˩
蜒,蜒,jiːn˨˩
焉,焉,jiːn˨˩,心不在焉，有厚望焉,此，乃，才
言,言,jiːn˨˩
涎,涎,jiːn˨˩
研,研,jiːn˨˩
賢,贤,jiːn˨˩
然,然,jiːn˨˩
舷,舷,jiːn˨˩
弦,弦,jiːn˨˩,"","",絃
綖,𫄧,jiːn˨˩
埏,埏,jiːn˨˩
靨,靥,jiːp˧
葉,叶,jiːp˨
燁,烨,jiːp˨
業,业,jiːp˨
頁,页,jiːp˨
鄴,邺,jiːp˨
曄,晔,jiːp˨
謁,谒,jiːt˧
噎,噎,jiːt˧
咽,咽,jiːt˧,哽咽，嗚咽,阻塞；聲音低沉、悲悽、滯澀
熱,热,jiːt˨
拽,拽,jiːt˨
孽,孽,jiːt˨
櫱,蘖,jiːt˨
臬,臬,jiːt˨/niːp˨
么,幺,jiːu˥
腰,腰,jiːu˥
妖,妖,jiːu˥
邀,邀,jiːu˥
吆,吆,jiːu˥
要,要,jiːu˥,要求，要挾,求取，脅迫，強迫
夭,夭,jiːu˥,夭夭，逃之夭夭,茂盛的樣子
要,要,jiːu˧,要緊，要點，要旨，要是，要素，要命，要塞，要好，要害，重要，主要，提要，摘要,嚴重，關鍵，緊要，需要
擾,扰,jiːu˧˥
夭,夭,jiːu˧˥,夭亡，夭折，夭殤，壽夭,短命，未成年而早死
窈,窈,jiːu˧˥
繞,绕,jiːu˧˥/jiːu˩˧,"","",遶
