隘	隘	aai³			
庇	庇	bei³			
轡	辔	bei³			
鉍	铋	bei³			
賁	贲	bei³	賁臨，賁然	裝飾美好，華麗，光潔	
碑	碑	bei¹			
卑	卑	bei¹			
裨	裨	bei¹	裨益，無裨於事，大有裨益	補助	
悲	悲	bei¹			
屄	屄	bei¹			
備	备	bei⁶			
被	被	bei⁶	被動，被害，被迫		
鼻	鼻	bei⁶			
箆	箆	bei⁶			
避	避	bei⁶			
糒	糒	bei⁶			
憊	惫	bei⁶/baai⁶			
餅	饼	beng²		（語音）	
柄	柄	beng³/bing³			
病	病	beng⁶/bing⁶			
啤	啤	be¹			
唄	呗	be⁶	去就去唄	（語氣助詞）表示讓步、勉強、顯而易見等	
壁	壁	bik¹			
碧	碧	bik¹			
逼	逼	bik¹			
愎	愎	bik¹			
璧	璧	bik¹			
襞	襞	bik¹			
丙	丙	bing²			
秉	秉	bing²			
炳	炳	bing²			
屏	屏	bing²	屏氣，屏息，屏除，屏棄，屏住呼吸	壓制，抑止，停止，排除	
餅	饼	bing²	餅乾，餡餅		
昺	昺	bing²			
邴	邴	bing²			
迸	迸	bing³			
併	并	bing³/ping³			
兵	兵	bing¹			
冰	冰	bing¹			
乒	乒	bing¹/ping¹			
並	并	bing⁶			
扁	扁	bin²	扁平，踩扁		
匾	匾	bin²			
貶	贬	bin²			
鯿	鳊	bin²			
變	变	bin³			
邊	边	bin¹			
辮	辫	bin¹			
鞭	鞭	bin¹			
煸	煸	bin¹			
砭	砭	bin¹			
便	便	bin⁶	便利，方便		
卞	卞	bin⁶			
辯	辩	bin⁶			
辨	辨	bin⁶			
汴	汴	bin⁶			
彆	别	bit³			
憋	憋	bit³			
鱉	鳖	bit³			
觱	觱	bit¹			
必	必	bit¹			
蹩	蹩	bit⁶			
別	别	bit⁶			
癟	瘪	bit⁶			
馝	馝	bit⁶			
婊	婊	biu²			
表	表	biu²			
裱	裱	biu²			
鑣	镳	biu¹			
彪	彪	biu¹			
標	标	biu¹			
錶	表	biu¹			
鏢	镖	biu¹			
飆	飙	biu¹			
膘	膘	biu¹			
驃	骠	biu¹	黃驃馬	一種黃毛夾有白色斑點的馬	
熛	熛	biu¹			
簸	簸	boh³	簸箕	（名詞）	
播	播	boh³			
簸	簸	boh³/boh²	顛簸	（動詞）	
波	波	boh¹			
玻	玻	boh¹			
菠	菠	boh¹			
般	般	boh¹	般若	（梵文音譯詞）	
膊	膊	bok³			
博	博	bok³			
搏	搏	bok³			
駁	驳	bok³			
亳	亳	bok³			
欂	欂	bok³/bok⁶			
縛	缚	bok³/fok³			
鉑	铂	bok⁶			
泊	泊	bok⁶	湖泊，水泊，血泊，梁山泊，羅布泊	湖	
箔	箔	bok⁶			
礴	礴	bok⁶			
雹	雹	bok⁶			
薄	薄	bok⁶			
舶	舶	bok⁶/paak³			
泊	泊	bok⁶/paak³	停泊，漂泊，泊位，淡泊	停船靠岸	
綁	绑	bong²			
膀	膀	bong²	肩膀，臂膀，翅膀		
榜	榜	bong²			
蒡	蒡	bong²			
梆	梆	bong¹			
幫	帮	bong¹			
邦	邦	bong¹			
浜	浜	bong¹			
傍	傍	bong⁶			
鎊	镑	bong⁶			
磅	磅	bong⁶	磅秤，過磅，磅體重，磅一磅	稱重量的儀器；用磅秤稱重量；（量詞）英美製重量單位	
貝	贝	booi³			
背	背	booi³	背部，背後，背景，背面，背影，背光，背脊，背叛，背棄，背約，背陰，背離，違背，駝背，後背，手背，紙背，背對着，背著臉，背地裡，背著人，背山面海，背井離鄉，背道而馳，背信棄義，背水一戰，腹背受敵，芒刺在背，汗流浹背，人心向背，力透紙背	（名詞）背部	
輩	辈	booi³			
狽	狈	booi³			
背	背	booi³	背債，背負，背包，背槍，背黑鍋，背包袱，背小孩，背責任，背起來，背得起，背負重任	（動詞）用脊背馱東西	揹
鋇	钡	booi³			
褙	褙	booi³			
杯	杯	booi¹			盃
背	背	booi⁶	背書，背誦，背熟，背靜，很背，背運，背時，耳背，背聽，背台詞，手氣背，背街小巷	（動詞、形容詞）默念，記憶；偏僻；聽力不好	
悖	悖	booi⁶			
焙	焙	booi⁶			
本	本	boon²			
畚	畚	boon²			
苯	苯	boon²			
半	半	boon³			
般	般	boon¹	一般，那般，百般，萬般無奈，如此這般	種，樣，種類	
搬	搬	boon¹			
拌	拌	boon⁶			
叛	叛	boon⁶			
絆	绊	boon⁶			
畔	畔	boon⁶			
胖	胖	boon⁶			
伴	伴	boon⁶			
缽	钵	boot³			鉢，砵
荸	荸	boot⁶			
渤	渤	boot⁶			
撥	拨	boot⁶			
勃	勃	boot⁶			
脖	脖	boot⁶			
鵓	鹁	boot⁶			
馞	馞	boot⁶			
保	保	bo²			
鴇	鸨	bo²			
堡	堡	bo²			
圃	圃	bo²			
寶	宝	bo²			
葆	葆	bo²			
補	补	bo²			
褓	褓	bo²			
佈	布	bo³			
埔	埔	bo³			
怖	怖	bo³			
報	报	bo³			
布	布	bo³			
晡	晡	bo¹			
步	步	bo⁶			
捕	捕	bo⁶			
暴	暴	bo⁶			
哺	哺	bo⁶			
簿	簿	bo⁶			
部	部	bo⁶			
埠	埠	bo⁶/fau⁶			
卜	卜	buk¹			
曝	曝	buk⁶			
僕	仆	buk⁶			
瀑	瀑	buk⁶			
濮	濮	buk⁶			
蹼	蹼	buk⁶			
甭	甭	bung³			
踩	踩	chaai²			
踹	踹	chaai²			
蠆	虿	chaai³			
嘬	嘬	chaai³/chui³			
猜	猜	chaai¹			
釵	钗	chaai¹			
差	差	chaai¹	差遣，差役，差使，差事，兼差，出差，郵差，當差	派遣去作事	
揣	揣	chaai¹	揣手，揣在懷裡，揣在兜裡	藏在衣服裡	
搋	搋	chaai¹			
柴	柴	chaai⁴			
豺	豺	chaai⁴			
儕	侪	chaai⁴			
拆	拆	chaak³			
冊	册	chaak³			
策	策	chaak³			
柵	栅	chaak³			
咤	咤	chaak¹/ja³	咤怒，叱咤	怒吼	吒
鰂	鲗	chaak⁶			
賊	贼	chaak⁶			
慘	惨	chaam²			
懺	忏	chaam³			
杉	杉	chaam³			
攙	搀	chaam¹			
參	参	chaam¹	參加，參與，參見，參考，參閱，參觀，參軍，參賽	加入	
摻	掺	chaam¹			
慚	惭	chaam⁴			
讒	谗	chaam⁴			
饞	馋	chaam⁴			
蠶	蚕	chaam⁴			
撐	撑	chaang¹			
瞠	瞠	chaang¹			
橙	橙	chaang⁴/chaang²			
鋥	锃	chaang⁶			
產	产	chaan²			
鏟	铲	chaan²			
燦	灿	chaan³			
璨	璨	chaan³			
粲	粲	chaan³			
羼	羼	chaan³			
餐	餐	chaan¹			
殘	残	chaan⁴			
插	插	chaap³			
鍤	锸	chaap³			
刷	刷	chaat³			
獺	獭	chaat³			
擦	擦	chaat³			
察	察	chaat³			
唰	唰	chaat³			
礤	礤	chaat³			
檫	檫	chaat³			
吵	吵	chaau²			
炒	炒	chaau²			
肏	肏	chaau³			操
抄	抄	chaau¹			
鈔	钞	chaau¹			
巢	巢	chaau⁴			
砌	砌	chai³			
沏	沏	chai³			
切	切	chai³	一切	所有的	
淒	凄	chai¹			
妻	妻	chai¹			
棲	栖	chai¹			
悽	悽	chai¹			
齊	齐	chai⁴			
薺	荠	chai⁴	荸薺	一種可供食用的草本植物	
蠐	蛴	chai⁴			
薺	荠	chai⁵	薺菜，其甘如薺	一種可入藥草本植物	
測	测	chak¹			
惻	恻	chak¹			
寢	寝	cham²			
磣	碜	cham²			
讖	谶	cham³/chaam³			
侵	侵	cham¹			
棽	棽	cham¹			
參	参	cham¹/chaam¹	參差，參差不齊	大小不一，不整齊的樣子	
沉	沉	cham⁴			沈
尋	寻	cham⁴			
蕁	荨	cham⁴			
鱘	鲟	cham⁴			
蕈	蕈	cham⁵			
曾	曾	chang⁴	曾經，未曾		
層	层	chang⁴			
嶒	嶒	chang⁴			
診	诊	chan²			
哂	哂	chan²			
矧	矧	chan²			
疹	疹	chan²			
縝	缜	chan²/jan²			
襯	衬	chan³			
趁	趁	chan³			
親	亲	chan³	親家，親家公，親家母	指兩家兒女相婚配的親戚關係	
齔	龀	chan³			
親	亲	chan¹	親戚，探親		
嗔	嗔	chan¹			
瞋	瞋	chan¹			
塵	尘	chan⁴			
陳	陈	chan⁴			
葺	葺	chap¹			
緝	缉	chap¹			
輯	辑	chap¹			
漆	漆	chat¹			
柒	柒	chat¹			
七	七	chat¹			
丑	丑	chau²			
醜	丑	chau²			
瞅	瞅	chau²			
臭	臭	chau³			
糗	糗	chau³			
嗅	嗅	chau³			
湊	凑	chau³			
溴	溴	chau³			
鞦	秋	chau¹			
抽	抽	chau¹			
鰍	鳅	chau¹			
秋	秋	chau¹			
楸	楸	chau¹			
惆	惆	chau⁴			
酬	酬	chau⁴			
綢	绸	chau⁴			
稠	稠	chau⁴			
疇	畴	chau⁴			
躊	踌	chau⁴			
囚	囚	chau⁴			
籌	筹	chau⁴			
泅	泅	chau⁴			
仇	仇	chau⁴		（俗，姓）	
儔	俦	chau⁴			
遒	遒	chau⁴			
鑔	镲	cha²			
岔	岔	cha³			
杈	杈	cha³			
詫	诧	cha³			
衩	衩	cha³			
姹	姹	cha³			奼
杈	杈	cha³	杈子，樹杈	植物的分枝	
汊	汊	cha³			
差	差	cha¹	差別，差異，差錯，差距，差勁，差點，偏差，時差，很差，差不多，差一點	不同，不同點，錯誤，缺，不好，不相合	
叉	叉	cha¹			
杈	杈	cha¹		一種叉形農具，用以堆柴草	
蹅	蹅	cha¹			
碴	碴	cha⁴			
茬	茬	cha⁴			
查	查	cha⁴	查看，檢查	察看，核對	
茶	茶	cha⁴			
搽	搽	cha⁴			
槎	槎	cha⁴			
垞	垞	cha⁴			
尺	尺	chek³			
赤	赤	chek³			
呎	呎	chek³			
卓	卓	cheuk³			
戳	戳	cheuk³			
綽	绰	cheuk³			
辵	辵	cheuk³			
焯	焯	cheuk³	焯菠菜	在開水中略煮一下	
倬	倬	cheuk³			
桌	桌	cheuk³/jeuk³			
搶	抢	cheung²	搶劫，搶奪，搶救，搶先，搶走，爭搶	奪取，硬拿	
唱	唱	cheung³			
戧	戗	cheung³	戧住，戧麵，夠戧，戧不住	支撐，支持，承受；填	
悵	怅	cheung³			
倡	倡	cheung³			
暢	畅	cheung³			
蹌	跄	cheung³			
嗆	呛	cheung³	嗆人	刺激性的氣味使人呼吸感到難受	
熗	炝	cheung³			
鬯	鬯	cheung³			
槍	枪	cheung¹			鎗
鯧	鲳	cheung¹			
嗆	呛	cheung¹	嗆水，嗆著，夠嗆	食物進入氣管而引起咳嗽	
昌	昌	cheung¹			
窗	窗	cheung¹			
戧	戗	cheung¹	戧風，說戧了，說話戧人	逆，不順，方向相對；決裂，言語衝突	
猖	猖	cheung¹			
菖	菖	cheung¹			
鏘	锵	cheung¹			
搶	抢	cheung¹	搶風，搶眼，呼天搶地	觸，撞，觸碰，碰撞	
倀	伥	cheung¹			
娼	娼	cheung¹			
祥	祥	cheung⁴			
牆	墙	cheung⁴			墻
薔	蔷	cheung⁴			
翔	翔	cheung⁴			
腸	肠	cheung⁴			
場	场	cheung⁴			
戕	戕	cheung⁴			
長	长	cheung⁴	長度，專長	（形容詞）	
檣	樯	cheung⁴			
詳	详	cheung⁴			
萇	苌	cheung⁴			
扯	扯	che²			
且	且	che²			
奢	奢	che¹			
車	车	che¹	汽車，馬車，公車，火車，紡車，水車，風車	指有輪子的運輸工具	
俥	伡	che¹/gui¹			
邪	邪	che⁴	邪惡，邪門，邪說，邪念，無邪，中邪，風邪，邪魔外道，改邪歸正	不正當	
斜	斜	che⁴			
輋	𪨶	che⁴			
斥	斥	chik¹			
戚	戚	chik¹			
叱	叱	chik¹			
敕	敕	chik¹			
彳	彳	chik¹			
飭	饬	chik¹			
槭	槭	chik¹			
諂	谄	chim²			
塹	堑	chim³			
僭	僭	chim³			
暹	暹	chim³/chim¹			
籤	签	chim¹			簽
纖	纤	chim¹			
殲	歼	chim¹			
簽	签	chim¹			
薟	莶	chim¹			
潛	潜	chim⁴			
拯	拯	ching²			
逞	逞	ching²			
騁	骋	ching²			
請	请	ching²/cheng²			
稱	称	ching³	稱一稱	（動詞）量輕重，測定重量	
秤	秤	ching³			
稱	称	ching³/chang³	稱職，稱心，稱體，對稱，市稱，磅稱，勻稱，稱心如意	適合，相等，相當	
蟶	蛏	ching¹			
氰	氰	ching¹			
清	清	ching¹			
稱	称	ching¹	稱呼，聲稱，名稱，簡稱，自稱，俗稱	叫，叫做	
蜻	蜻	ching¹			
鯖	鲭	ching¹			
腈	腈	ching¹			
青	青	ching¹/cheng¹			
情	情	ching⁴			
懲	惩	ching⁴			
程	程	ching⁴			
晴	晴	ching⁴			
澄	澄	ching⁴			
呈	呈	ching⁴			
埕	埕	ching⁴			
澂	澂	ching⁴			澄
裎	裎	ching⁴			
淺	浅	chin²			
千	千	chin¹			
遷	迁	chin¹			
仟	仟	chin¹			
韆	千	chin¹			
阡	阡	chin¹			
芊	芊	chin¹			
前	前	chin⁴			
纏	缠	chin⁴			
錢	钱	chin⁴			
踐	践	chin⁵/jin⁶			
妾	妾	chip³			
設	设	chit³			
切	切	chit³	切割，切菜，切開，切斷，切入，切磋，切面，切實，切題，切記，切齒，親切，密切，貼切，迫切，急切，懇切，心切，切身，不切實際	用刀把東西切斷；貼近，密合，符合，急迫，務必，一定	
徹	彻	chit³			
轍	辙	chit³			
澈	澈	chit³			
撤	撤	chit³			
掣	掣	chit³	掣籤，掣劍	抽，拔	
悄	悄	chiu²	悄沒聲，悄然		
悄	悄	chiu²/chiu¹	悄悄，靜悄悄，悄悄地走了		
峭	峭	chiu³			
俏	俏	chiu³			
鞘	鞘	chiu³			
肖	肖	chiu³			
誚	诮	chiu³			
超	超	chiu¹			
釗	钊	chiu¹			
昭	昭	chiu¹			
鍬	锹	chiu¹			
朝	朝	chiu⁴	朝向，朝天，朝陽，王朝，朝廷	向，面對著	
潮	潮	chiu⁴			
瞧	瞧	chiu⁴			
憔	憔	chiu⁴			
樵	樵	chiu⁴			
矢	矢	chi²			
恥	耻	chi²			
齒	齿	chi²			
始	始	chi²			
此	此	chi²			
侈	侈	chi²			
褫	褫	chi²			
豕	豕	chi²			
跐	跐	chi²		踏，踐踏，踩	
玼	玼	chi²			
泚	泚	chi²			
次	次	chi³			
賜	赐	chi³			
幟	帜	chi³			
刺	刺	chi³			
熾	炽	chi³			
廁	厕	chi³			
翅	翅	chi³			
雌	雌	chi¹			
鴟	鸱	chi¹			
笞	笞	chi¹			
蚩	蚩	chi¹			
螭	螭	chi¹			
眵	眵	chi¹			
哧	哧	chi¹			
差	差	chi¹	差等，參差，參差不齊	長短不齊	
癡	痴	chi¹			
嗤	嗤	chi¹			
疵	疵	chi¹			
魑	魑	chi¹			
跐	跐	chi¹	跐溜	腳下滑動	
瓷	瓷	chi⁴			
祠	祠	chi⁴			
篪	篪	chi⁴			
馳	驰	chi⁴			
慈	慈	chi⁴			
詞	词	chi⁴			
磁	磁	chi⁴			
辭	辞	chi⁴			
池	池	chi⁴			
墀	墀	chi⁴			
弛	弛	chi⁴			
糍	糍	chi⁴			
持	持	chi⁴			
匙	匙	chi⁴	湯匙，羹匙，茶匙，藥匙	勺子	
遲	迟	chi⁴			
臍	脐	chi⁴			
茌	茌	chi⁴			
踟	踟	chi⁴			
茨	茨	chi⁴			
茲	兹	chi⁴	龜茲	（古）國名	
鶿	鹚	chi⁴			鷀
恃	恃	chi⁵			
柿	柿	chi⁵			
似	似	chi⁵			
姒	姒	chi⁵			
楚	楚	choh²			
礎	础	choh²			
憷	憷	choh²			
錯	错	choh³	錯誤，犯錯		
銼	锉	choh³			
挫	挫	choh³			
初	初	choh¹			
雛	雏	choh¹			
芻	刍	choh¹			
磋	磋	choh¹			
搓	搓	choh¹			
鋤	锄	choh⁴			
痤	痤	choh⁴			
坐	坐	choh⁵		（口語）	
採	采	choi²			
睬	睬	choi²			
采	采	choi²			
綵	彩	choi²			
彩	彩	choi²			
菜	菜	choi³			
賽	赛	choi³			
蔡	蔡	choi³			
塞	塞	choi³	塞外，要塞，邊塞，關塞，塞翁失馬	邊界上的險要地方	
材	材	choi⁴			
裁	裁	choi⁴			
才	才	choi⁴			纔
財	财	choi⁴			
錯	错	chok³	錯亂，交錯，錯雜，錯綜複雜，犬牙交錯		
敞	敞	chong²			
廠	厂	chong²			
闖	闯	chong²			
氅	氅	chong²			
昶	昶	chong²			
創	创	chong³	創辦，創建，創刊，創舉，首創	初次，開始做	
愴	怆	chong³			
滄	沧	chong¹			
創	创	chong¹	創傷，創痕，創口，重創，刀創，重創敵軍	傷口，打擊	
傖	伧	chong¹			
瘡	疮	chong¹			
蒼	苍	chong¹			
艙	舱	chong¹			
倉	仓	chong¹			
鶬	鸧	chong¹			
藏	藏	chong⁴	躲藏，隱藏，收藏	躲，收好	
床	床	chong⁴			牀
幢	幢	chong⁴	幢幡，旗幢，人影幢幢	（古）旌旗的一種	
草	草	cho²			
措	措	cho³			
糙	糙	cho³			
醋	醋	cho³			
躁	躁	cho³			
燥	燥	cho³			
噪	噪	cho³			
造	造	cho³	造詣，造就，造訪，造次，深造，登峰造極	成就，培養，到，去，達到，前往	
酢	酢	cho³	酬酢	醋	
操	操	cho³/cho¹	操行，操守，貞操，節操	品行，行為，德行，品格	
操	操	cho¹	操作，體操	拿，掌握，鍛煉，從事	
粗	粗	cho¹			
曹	曹	cho⁴			
嘈	嘈	cho⁴			
漕	漕	cho⁴			
槽	槽	cho⁴			
螬	螬	cho⁴			
忖	忖	chuen²			
喘	喘	chuen²			
舛	舛	chuen²			
攛	撺	chuen²/chuen³			
吋	吋	chuen³			
爨	爨	chuen³			
寸	寸	chuen³			
串	串	chuen³			
竄	窜	chuen³			
穿	穿	chuen¹			
汆	汆	chuen¹			
川	川	chuen¹			
躥	蹿	chuen¹			
村	村	chuen¹			邨
泉	泉	chuen⁴			
詮	诠	chuen⁴			
存	存	chuen⁴			
銓	铨	chuen⁴			
傳	传	chuen⁴	傳統，傳授，傳奇，傳說，傳承，傳播，傳染，傳話，傳喚，傳神，傳熱，傳情，相傳，據傳，遺傳，宣傳	轉授，遞送，散佈，表達	
痊	痊	chuen⁴			
全	全	chuen⁴			
醛	醛	chuen⁴			
荃	荃	chuen⁴			
輇	辁	chuen⁴			
筌	筌	chuen⁴			
椽	椽	chuen⁴			
佺	佺	chuen⁴			
猝	猝	chuet³			
撮	撮	chuet³			
踅	踅	chuet³			
杵	杵	chue²			
貯	贮	chue²			
褚	褚	chue²		（姓）	
處	处	chue³	處所，處長，好處，遠處，到處	（名詞）地方	
躇	躇	chue¹			
蹰	蹰	chue⁴			
櫥	橱	chue⁴			
廚	厨	chue⁴/chui⁴			
署	署	chue⁵			
儲	储	chue⁵			
苧	苎	chue⁵			
柱	柱	chue⁵			
曙	曙	chue⁵			
處	处	chue⁵	處理，處罰，處事，懲處，相處	（動詞）	
佇	伫	chue⁵			
褚	褚	chue⁵	褚衣	絲綿，棉衣	
杼	杼	chue⁵			
娶	娶	chui²			
取	取	chui²			
揣	揣	chui²/chuen²	揣測，揣度，揣摩，掙揣，不揣冒昧	估量，忖度；掙扎	
脆	脆	chui³			
趣	趣	chui³			
啐	啐	chui³			
覷	觑	chui³			
翠	翠	chui³			
焠	焠	chui³/sui⁶			
淬	淬	chui³/sui⁶			
催	催	chui¹			
炊	炊	chui¹			
摧	摧	chui¹			
吹	吹	chui¹			
趨	趋	chui¹			
崔	崔	chui¹			
榱	榱	chui¹			
衰	衰	chui¹	衰序，等衰	次序，等級	
璀	璀	chui¹/chui²			
除	除	chui⁴			
槌	槌	chui⁴			
隋	隋	chui⁴			
捶	捶	chui⁴			搥
錘	锤	chui⁴			鎚
蜍	蜍	chui⁴			
徐	徐	chui⁴			
隨	随	chui⁴			
滁	滁	chui⁴			
搐	搐	chuk¹			
束	束	chuk¹			
矗	矗	chuk¹			
蹙	蹙	chuk¹			
畜	畜	chuk¹			
簇	簇	chuk¹			
蓄	蓄	chuk¹			
促	促	chuk¹			
速	速	chuk¹			
簌	簌	chuk¹			
蹴	蹴	chuk¹			
齪	龊	chuk¹			
亍	亍	chuk¹			
俶	俶	chuk¹			
寵	宠	chung²			
冢	冢	chung²			塚
銃	铳	chung³			
匆	匆	chung¹			
忡	忡	chung¹			
衝	冲	chung¹			
聰	聪	chung¹			
沖	冲	chung¹			
囪	囱	chung¹			
憧	憧	chung¹			
蔥	葱	chung¹			
涌	涌	chung¹			
充	充	chung¹			
樅	枞	chung¹	樅樹，樅酸	（樹名）冷杉	
驄	骢	chung¹			
衷	衷	chung¹/jung¹			
從	从	chung⁴	從前，從來，從沒，從此，從事，從軍，從速，從簡，從寬，從嚴，跟從，服從，順從，從頭來過，力不從心	跟隨，依順，處理；由，自	
叢	丛	chung⁴			
重	重	chung⁴	重新，重複，重來，重疊，重建，重申，重演，重逢，重溫，重圍，重洋，重重，雙重，九重天，重整旗鼓，重蹈覆轍，重見天日，舊地重遊，捲土重來	再，另，又一次	
松	松	chung⁴			
琮	琮	chung⁴			
蟲	虫	chung⁴			
重	重	chung⁵	重量，重負，重擔，重金，重賞，重罰，重罪，重傷，重病，重聽，重型，重兵，輕重，深重，體重，淨重，舉重，繁重，超重，載重，比重，很重，重武器，避重就輕，舉足輕重，忍辱負重	分量大，數量多，程度深	
蠢	蠢	chun²			
春	春	chun¹			
椿	椿	chun¹			
蝽	蝽	chun¹			
旬	旬	chun⁴			
