挨	挨	aːi˥	挨户，挨家，挨近	依次，顺次，靠近	
分	分	fɐn˥	分开，分别，分数，分裂，分明，分离，分出，分散，分隔，分辨，分割，分成，分手，分担，分支，分局，分会，分校，分贝，分配，分钟，分队，分头，区分，满分，划分，零分，分工作，分公司，一百分，百分之一，分清是非，分一杯羹，不分青红皁白	把整体变成几个局部的个体；辨别，区别，离别；（量词）长度、时间、成绩、钱等的单位	
熏	熏	fɐn˥			
熏	燻	fɐn˥			
醺	醺	fɐn˥			
荤	葷	fɐn˥			
昏	昏	fɐn˥			
酚	酚	fɐn˥			
芬	芬	fɐn˥			
吩	吩	fɐn˥			
勋	勳	fɐn˥			勛
棻	棻	fɐn˥			
粪	糞	fɐn˧			
训	訓	fɐn˧			
粉	粉	fɐn˧˥			
份	份	fɐn˨			
分	分	fɐn˨	分量，部分，成分，身分，过分，本分，名分，缘分，情分，糖分，养分	整体中的局部	份
坟	墳	fɐn˨˩			
焚	焚	fɐn˨˩			
汾	汾	fɐn˨˩			
愤	憤	fɐn˩˧			
奋	奮	fɐn˩˧			
忿	忿	fɐn˩˧			
拂	拂	fɐt˥			
惚	惚	fɐt˥			
囫	囫	fɐt˥			
弗	弗	fɐt˥			
忽	忽	fɐt˥			
窟	窟	fɐt˥			
氟	氟	fɐt˥			
笏	笏	fɐt˥			
佛	彿	fɐt˥			
伐	伐	fɐt˨			
筏	筏	fɐt˨			
佛	佛	fɐt˨			
阀	閥	fɐt˨			
乏	乏	fɐt˨			
罚	罰	fɐt˨			
否	否	fɐu˧˥	否认，否定，否决，否则，是否，可否，与否	不然，反对，不同意	
阜	阜	fɐu˨			
浮	浮	fɐu˨˩			
涪	涪	fɐu˨˩			
攫	攫	fɔːk˧			
霍	霍	fɔːk˧			
藿	藿	fɔːk˧			
矍	矍	fɔːk˧			
方	方	fɔːŋ˥			
荒	荒	fɔːŋ˥			
芳	芳	fɔːŋ˥			
慌	慌	fɔːŋ˥			
坊	坊	fɔːŋ˥			
肪	肪	fɔːŋ˥			
邡	邡	fɔːŋ˥			
谎	謊	fɔːŋ˥/fɔːŋ˧˥			
况	況	fɔːŋ˧			
放	放	fɔːŋ˧			
恍	恍	fɔːŋ˧˥			
幌	幌	fɔːŋ˧˥			
纺	紡	fɔːŋ˧˥			
访	訪	fɔːŋ˧˥			
仿	彷	fɔːŋ˧˥	仿佛	好像，似乎	
晃	晃	fɔːŋ˧˥			
仿	仿	fɔːŋ˧˥			倣
舫	舫	fɔːŋ˧˥			
妨	妨	fɔːŋ˨˩			
房	房	fɔːŋ˨˩			
防	防	fɔːŋ˨˩			
科	科	fɔː˥			
蝌	蝌	fɔː˥			
课	課	fɔː˧			
货	貨	fɔː˧			
伙	伙	fɔː˧˥			
火	火	fɔː˧˥			
颗	顆	fɔː˧˥			
伙	夥	fɔː˧˥			
啡	啡	fɛː˥			
复	複	fʊk˥			
辐	輻	fʊk˥			
覆	覆	fʊk˥			
福	福	fʊk˥			
幅	幅	fʊk˥			
馥	馥	fʊk˥			
蝮	蝮	fʊk˥			
蝠	蝠	fʊk˥			
腹	腹	fʊk˥			
伏	伏	fʊk˨			
袱	袱	fʊk˨			
复	復	fʊk˨			
服	服	fʊk˨			
茯	茯	fʊk˨			
宓	宓	fʊk˨		（姓）	
丰	豐	fʊŋ˥			
疯	瘋	fʊŋ˥			
风	風	fʊŋ˥			
烽	烽	fʊŋ˥			
丰	丰	fʊŋ˥			
枫	楓	fʊŋ˥			
峰	峰	fʊŋ˥			峯
锋	鋒	fʊŋ˥			
蜂	蜂	fʊŋ˥			
封	封	fʊŋ˥			
犎	犎	fʊŋ˥			
酆	酆	fʊŋ˥			
讽	諷	fʊŋ˧			
凤	鳳	fʊŋ˨			
奉	奉	fʊŋ˨			
俸	俸	fʊŋ˨/fʊŋ˧˥			
逢	逢	fʊŋ˨˩			
冯	馮	fʊŋ˨˩			
缝	縫	fʊŋ˨˩	缝纫，缝补，缝上，裁缝	（动词）用针线连结	
缝	縫	fʊŋ˨˩/fʊŋ˨	缝子，缝隙，裂缝，门缝	（名词）空隙，细长的口子；接合的地方	
揩	揩	haːi˥			
嗨	嗨	haːi˥			
咳	咳	haːi˥		（叹词）表示惊讶、惋惜、后悔	
懈	懈	haːi˨			
械	械	haːi˨			
解	解	haːi˨	解县	（姓、地名）	
瀣	瀣	haːi˨			
邂	邂	haːi˨/haːi˩˧			
孩	孩	haːi˨˩			
谐	諧	haːi˨˩			
骸	骸	haːi˨˩			
鞋	鞋	haːi˨˩			
骇	駭	haːi˩˧			
獬	獬	haːi˩˧			
蟹	蟹	haːi˩˧			
赫	赫	haːk˥			
吓	嚇	haːk˧			
客	客	haːk˧			
喊	喊	haːm˧			
陷	陷	haːm˨			
馅	餡	haːm˨			
函	函	haːm˨˩			
涵	涵	haːm˨˩			
咸	鹹	haːm˨˩			
咸	咸	haːm˨˩			
衔	銜	haːm˨˩			
啣	啣	haːm˨˩			
槛	檻	haːm˩˧			
限	限	haːn˨			
闲	閒	haːn˨˩			閑
痫	癇	haːn˨˩			
娴	嫺	haːn˨˩			嫻
呷	呷	haːp˧			
嗑	嗑	haːp˧	嗑破，嗑瓜子	咬有壳等的硬东西	
掐	掐	haːp˧			
匣	匣	haːp˨			
柙	柙	haːp˨			
箧	篋	haːp˨			
狎	狎	haːp˨			
峡	峽	haːp˨			
狭	狹	haːp˨/haːp˧			
侠	俠	haːp˨/hɐp˨			
哮	哮	haːu˥			
敲	敲	haːu˥			
烤	烤	haːu˥/haːu˧˥			
孝	孝	haːu˧			
考	考	haːu˧˥			攷
巧	巧	haːu˧˥			
拷	拷	haːu˧˥			
栲	栲	haːu˧˥			
校	校	haːu˨	校长，校园，校址，校舍，学校，母校，夜校	教学的地方	
効	効	haːu˨			
效	效	haːu˨			
傚	傚	haːu˨			
夯	夯	haːŋ˥			
坑	坑	haːŋ˥			
行	行	haːŋ˨˩		走（用于口语）	
哈	哈	haː˥			
虾	蝦	haː˥			
夏	夏	haː˨			
下	下	haː˨			
暇	暇	haː˨			
厦	廈	haː˨			厦
遐	遐	haː˨˩			
瑕	瑕	haː˨˩			
蛤	蛤	haː˨˩	蛤蟆，癞蛤蟆		
霞	霞	haː˨˩			
嘿	嘿	hei˥			
烯	烯	hei˥			
禧	禧	hei˥			
熙	熙	hei˥			
嬉	嬉	hei˥			
曦	曦	hei˥			
牺	犧	hei˥			
稀	稀	hei˥			
羲	羲	hei˥			
醯	醯	hei˥			
欷	欷	hei˥			
希	希	hei˥			
嘻	嘻	hei˥			
唏	唏	hei˥			
欺	欺	hei˥			
熹	熹	hei˥			
浠	浠	hei˥			
娸	娸	hei˥			
豨	豨	hei˥			
憩	憩	hei˧			
戏	戲	hei˧			
器	器	hei˧			
汽	汽	hei˧			
弃	棄	hei˧			
气	氣	hei˧			
喜	喜	hei˧˥			
岂	豈	hei˧˥			
起	起	hei˧˥			
囍	囍	hei˧˥			
谦	謙	hiːm˥			
芡	芡	hiːm˧			
欠	欠	hiːm˧			
险	險	hiːm˧˥			
掀	掀	hiːn˥			
牵	牽	hiːn˥			
轩	軒	hiːn˥			
骞	騫	hiːn˥			
献	獻	hiːn˧			
宪	憲	hiːn˧			
遣	遣	hiːn˧˥			
显	顯	hiːn˧˥			
谴	譴	hiːn˧˥			
蚬	蜆	hiːn˧˥			
缱	繾	hiːn˧˥			
胁	脅	hiːp˧			
歉	歉	hiːp˧			
协	協	hiːp˧			
怯	怯	hiːp˧			
挟	挾	hiːp˧/haːp˨			
惬	愜	hiːp˨			
歇	歇	hiːt˧			
蝎	蠍	hiːt˧			
侥	僥	hiːu˥			
鸮	鴞	hiːu˥			
骁	驍	hiːu˥			
枭	梟	hiːu˥			
嚣	囂	hiːu˥			
橇	橇	hiːu˥/tsʰɵy˧			
窍	竅	hiːu˧/kʰiːu˧			
晓	曉	hiːu˧˥			
蒿	蒿	hou˥			
薅	薅	hou˥			
犒	犒	hou˧			
好	好	hou˧	好客，好奇，嗜好，癖好	（动词）喜爱，喜欢	
耗	耗	hou˧			
好	好	hou˧˥	好处，好听，好汉，良好	（形容词）有利的，使人满意的	
昊	昊	hou˨			
浩	浩	hou˨			
号	號	hou˨	号码，符号，记号	（名词）标记，名称	
镐	鎬	hou˨		（地名）西周的国都	
灏	灝	hou˨			
皓	皓	hou˨			
颢	顥	hou˨			
蠔	蠔	hou˨˩			
豪	豪	hou˨˩			
嗥	嗥	hou˨˩			
壕	壕	hou˨˩			
毫	毫	hou˨˩			
嚎	嚎	hou˨˩			
号	號	hou˨˩	号叫，号啕，号哭，呼号	（动词）高声叫喊	
濠	濠	hou˨˩			
圈	圈	hyːn˥	圈子，圈套，圈点，圈选，圆圈，花圈，绕圈，项圈	环形的东西	
萱	萱	hyːn˥			
喧	喧	hyːn˥			
暄	暄	hyːn˥			
埙	壎	hyːn˥			塤
禤	禤	hyːn˥			
禢	禢	hyːn˥			
劝	勸	hyːn˧			
券	券	hyːn˧	奖券，赠券		
绚	絢	hyːn˧			
绻	綣	hyːn˧			
犬	犬	hyːn˧˥			
畎	畎	hyːn˧˥			
血	血	hyːt˧			
哼	哼	hŋ̩˨		（叹词）表示不满，怀疑，轻蔑，威胁，怨恨	
香	香	hœːŋ˥			
乡	鄉	hœːŋ˥			
向	向	hœːŋ˧			
向	嚮	hœːŋ˧			
享	享	hœːŋ˧˥			
响	響	hœːŋ˧˥			
飨	饗	hœːŋ˧˥			
饷	餉	hœːŋ˧˥			
晌	晌	hœːŋ˧˥			
蠁	蠁	hœːŋ˧˥			
靴	靴	hœː˥			
系	係	hɐi˨			
系	繫	hɐi˨			
系	系	hɐi˨			
奚	奚	hɐi˨˩			
兮	兮	hɐi˨˩			
鼷	鼷	hɐi˨˩			
蹊	蹊	hɐi˨˩	蹊径，山蹊	小路	
克	克	hɐk˥			
刻	刻	hɐk˥			
黑	黑	hɐk˥			
氪	氪	hɐk˥			
克	剋	hɐk˥			
可	可	hɐk˥	可汗		
勘	勘	hɐm˥	勘误，勘正，校勘	校对，核定	
蚶	蚶	hɐm˥			
龛	龕	hɐm˥			
戡	戡	hɐm˥			
堪	堪	hɐm˥			
憨	憨	hɐm˥			
坩	坩	hɐm˥			
崁	崁	hɐm˧			
磡	磡	hɐm˧			
勘	勘	hɐm˧	勘探，勘验，勘测，推勘	细查，审查	
瞰	瞰	hɐm˧			
嵌	嵌	hɐm˧/hɐm˨			
砍	砍	hɐm˧˥			
坎	坎	hɐm˧˥			
撼	撼	hɐm˨			
憾	憾	hɐm˨			
含	含	hɐm˨˩			
酣	酣	hɐm˨˩			
晗	晗	hɐm˨˩			
颔	頷	hɐm˩˧			
很	很	hɐn˧˥			
狠	狠	hɐn˧˥			
恳	懇	hɐn˧˥			
垦	墾	hɐn˧˥			
恨	恨	hɐn˨			
痕	痕	hɐn˨˩			
恰	恰	hɐp˥			
洽	洽	hɐp˥			
合	合	hɐp˨			閤
磕	磕	hɐp˨			
盒	盒	hɐp˨			
瞌	瞌	hɐp˨			
阖	闔	hɐp˨			
颌	頜	hɐp˨			
嗑	嗑	hɐp˨	噬嗑	六十四卦之一	
乞	乞	hɐt˥			
瞎	瞎	hɐt˨			
辖	轄	hɐt˨			
阂	閡	hɐt˨			
劾	劾	hɐt˨			
檄	檄	hɐt˨			
龁	齕	hɐt˨			
纥	紇	hɐt˨	回纥	古代少数民族名称	
搳	搳	hɐt˨			
核	核	hɐt˨/wɐt˨			
齁	齁	hɐu˥			
吼	吼	hɐu˧			
口	口	hɐu˧˥			
后	後	hɐu˨			
逅	逅	hɐu˨			
后	后	hɐu˨			
鲎	鱟	hɐu˨			
候	候	hɐu˨			
堠	堠	hɐu˨			
猴	猴	hɐu˨˩			
侯	侯	hɐu˨˩			
喉	喉	hɐu˨˩			
篌	篌	hɐu˨˩			
瘊	瘊	hɐu˨˩			
厚	厚	hɐu˩˧			
铿	鏗	hɐŋ˥			
哼	哼	hɐŋ˥	哼唱，哼歌，哼出来	（动词）低声歌唱	
亨	亨	hɐŋ˥			
茎	莖	hɐŋ˥/kɪŋ˧			
肯	肯	hɐŋ˧˥			
啃	啃	hɐŋ˧˥			
悻	悻	hɐŋ˨			
杏	杏	hɐŋ˨			
幸	幸	hɐŋ˨			
幸	倖	hɐŋ˨			
婞	婞	hɐŋ˨			
行	行	hɐŋ˨	言行，品行，罪行，德行，操行，道行，行将，不行，行了，真行	足以表明品质的举止行动；可以；能干；快要；僧道修行的功夫	
桁	桁	hɐŋ˨˩			
恒	恆	hɐŋ˨˩			
衡	衡	hɐŋ˨˩			
姮	姮	hɐŋ˨˩			
珩	珩	hɐŋ˨˩			
行	行	hɐŋ˨˩	行走，行军，行李，行销，行灶，行商，行营，行礼，行文，行装，行箧，行头，进行，通行，发行，风行，另行，即行，举行，实行，日行千里，见机行事	走	
行	行	hɐŋ˨˩/hɔːŋ˨˩	行辈，排行	兄弟姐妹长幼的次序	
开	開	hɔːi˥			
咍	咍	hɔːi˥			
锎	鐦	hɔːi˥			
恺	愷	hɔːi˧˥			
海	海	hɔːi˧˥			
铠	鎧	hɔːi˧˥			
凯	凱	hɔːi˧˥			
闿	闓	hɔːi˧˥			
剀	剴	hɔːi˧˥			
垲	塏	hɔːi˧˥			
害	害	hɔːi˨			
亥	亥	hɔːi˨			
氦	氦	hɔːi˨			
壳	殼	hɔːk˧			
貉	貉	hɔːk˨			
鹤	鶴	hɔːk˨			
学	學	hɔːk˨			
看	看	hɔːn˥	看门，看家，看羊，看管，看守，看护，看押，看待	守护，监视，监管，照管，照顾，放牧	
看	看	hɔːn˧	看见，看书，看病，看望，看戏，看脉，察看，观看，好看，看电影，看得起，试试看，看风使舵，刮目相看，另眼相看	瞧，注视，观察，拜访，探望	
汉	漢	hɔːn˧			
侃	侃	hɔːn˧˥			
罕	罕	hɔːn˧˥			
刊	刊	hɔːn˧˥/hɔːn˥			
悍	悍	hɔːn˨			
瀚	瀚	hɔːn˨			
捍	捍	hɔːn˨			
汗	汗	hɔːn˨	汗水，流汗		
翰	翰	hɔːn˨			
焊	焊	hɔːn˨			
韩	韓	hɔːn˨˩			
邯	邯	hɔːn˨˩			
鼾	鼾	hɔːn˨˩			
寒	寒	hɔːn˨˩			
汗	汗	hɔːn˨˩	可汗		
旱	旱	hɔːn˩˧			
渴	渴	hɔːt˧			
喝	喝	hɔːt˧			
鞨	鞨	hɔːt˧			
褐	褐	hɔːt˧			
匡	匡	hɔːŋ˥			
康	康	hɔːŋ˥			
糠	糠	hɔːŋ˥			
腔	腔	hɔːŋ˥			
劻	劻	hɔːŋ˥			
诓	誆	hɔːŋ˥			
眶	眶	hɔːŋ˥/kʰwaːŋ˥			
筐	筐	hɔːŋ˥/kʰwaːŋ˥			
慷	慷	hɔːŋ˧˥/kʰɔːŋ˧˥			
项	項	hɔːŋ˨			
行	行	hɔːŋ˨	行行，树行子	刚强的样子；排成行列的树木	
巷	巷	hɔːŋ˨/hɔːŋ˧˥			
行	行	hɔːŋ˨˩	行列，行家，行市，同行，外行，车行，单行，双行，几行字	行列，排；职业	
航	航	hɔːŋ˨˩			
杭	杭	hɔːŋ˨˩			
降	降	hɔːŋ˨˩	降服，投降	向敌人屈服	
吭	吭	hɔːŋ˨˩			
沆	沆	hɔːŋ˨˩			
苛	苛	hɔː˥			
诃	訶	hɔː˥			
呵	呵	hɔː˥			
可	可	hɔː˧˥	可以，宁可		
坷	坷	hɔː˧˥			
岢	岢	hɔː˧˥			
嗬	嗬	hɔː˧˥			
贺	賀	hɔː˨			
荷	荷	hɔː˨	负荷，荷载，荷重，电荷，感荷	扛，背，負擔，承受	
何	何	hɔː˨˩			
河	河	hɔː˨˩			
荷	荷	hɔː˨˩	荷花，荷塘，荷包，荷兰，薄荷，荷尔蒙	莲花	
吃	吃	hɛːk˧			喫
兄	兄	hɪŋ˥			
卿	卿	hɪŋ˥			
兴	興	hɪŋ˥	兴建，兴奋，兴盛，兴旺，兴隆，兴衰，兴起，振兴，复兴，中兴，时兴，新兴	发动，创办，昌盛，旺盛，流行	
馨	馨	hɪŋ˥			
氢	氫	hɪŋ˥			
轻	輕	hɪŋ˥/hɛːŋ˥			
磬	磬	hɪŋ˧			
罄	罄	hɪŋ˧			
兴	興	hɪŋ˧	兴趣，兴致，高兴，扫兴，雅兴，助兴，尽兴，即兴，乘兴，败兴，兴高采烈	喜爱的情绪	
庆	慶	hɪŋ˧			
胫	脛	hɪŋ˩˧/kɪŋ˧			
墟	墟	hɵy˥			
吁	吁	hɵy˥			
嘘	噓	hɵy˥			
虚	虛	hɵy˥			
歔	歔	hɵy˥			
盱	盱	hɵy˥			
去	去	hɵy˧			
诩	詡	hɵy˧˥			
许	許	hɵy˧˥			
栩	栩	hɵy˧˥			
煦	煦	hɵy˧˥/hɵy˧			
哭	哭	hʊk˥			
酷	酷	hʊk˨			
槲	槲	hʊk˨			
匈	匈	hʊŋ˥			
凶	凶	hʊŋ˥			
箜	箜	hʊŋ˥			
崆	崆	hʊŋ˥			
胸	胸	hʊŋ˥			
汹	洶	hʊŋ˥			
凶	兇	hʊŋ˥			凶
空	空	hʊŋ˥			
哄	哄	hʊŋ˥	哄传，哄动，哄然，哄劝，乱哄哄，哄堂大笑，哄抬物价	许多人同时发出喧哗声或大笑声	
哄	哄	hʊŋ˧	哄骗，哄孩子	逗弄，用假话骗人	
控	控	hʊŋ˧			
哄	哄	hʊŋ˧	哄骗，哄人，哄孩子	逗弄，用假话骗人	
烘	烘	hʊŋ˧/hʊŋ˥			
哄	鬨	hʊŋ˧/hʊŋ˨	哄闹，起哄，一哄而散	喧闹，笑闹	
恐	恐	hʊŋ˧˥			
孔	孔	hʊŋ˧˥			
蕻	蕻	hʊŋ˨	菜蕻	茂盛的样子	
汞	汞	hʊŋ˨/hʊŋ˧			銾
虹	虹	hʊŋ˨˩			
熊	熊	hʊŋ˨˩			
洪	洪	hʊŋ˨˩			
雄	雄	hʊŋ˨˩			
鸿	鴻	hʊŋ˨˩			
红	紅	hʊŋ˨˩			
蕻	蕻	hʊŋ˨˩	雪里蕻	一种花	
讧	訌	hʊŋ˨˩/hʊŋ˧			
也	也	jaː˩˧			
淹	淹	jiːm˥			
阉	閹	jiːm˥			
奄	奄	jiːm˥			
恹	懨	jiːm˥			
腌	醃	jiːm˥/jiːp˧			
餍	饜	jiːm˧			
厌	厭	jiːm˧			
魇	魘	jiːm˧˥			
掩	掩	jiːm˧˥			
揜	揜	jiːm˧˥			
验	驗	jiːm˨			
艳	艷	jiːm˨			
滟	灧	jiːm˨			灩
焰	焰	jiːm˨			燄
盐	鹽	jiːm˨˩			
炎	炎	jiːm˨˩			
严	嚴	jiːm˨˩			
髯	髯	jiːm˨˩			
蚺	蚺	jiːm˨˩			
嫌	嫌	jiːm˨˩			
阎	閻	jiːm˨˩			
闫	閆	jiːm˨˩			
檐	簷	jiːm˨˩/siːm˨˩			
冉	冉	jiːm˩˧			
俨	儼	jiːm˩˧			
苒	苒	jiːm˩˧			
染	染	jiːm˩˧			
琰	琰	jiːm˩˧			
咽	咽	jiːn˥	咽喉，咽头	食道的上端部分	
烟	煙	jiːn˥	烟草，抽烟		菸
湮	湮	jiːn˥			
焉	焉	jiːn˥	焉能如此，焉知非福，焉得虎子	（疑问词）岂，怎么，如何	
胭	胭	jiːn˥			
蔫	蔫	jiːn˥			
烟	煙	jiːn˥	烟火，冒烟		
燕	燕	jiːn˥	燕京	（姓，地名）	
嫣	嫣	jiːn˥			
鄢	鄢	jiːn˥			
阏	閼	jiːn˥	阏氏	匈奴人妻或妾的称号	
燕	燕	jiːn˧	燕子，家燕		
宴	宴	jiːn˧			
咽	嚥	jiːn˧	咽气，吞咽，咽口水，狼吞虎咽，细嚼慢咽	吞	
偃	偃	jiːn˧˥			
演	演	jiːn˧˥			
鼹	鼴	jiːn˧˥			
堰	堰	jiːn˧˥			
兖	兗	jiːn˧˥			
衍	衍	jiːn˧˥/hiːn˧˥			
苋	莧	jiːn˨			
砚	硯	jiːn˨			
现	現	jiːn˨			
彦	彥	jiːn˨			
谳	讞	jiːn˨			
谚	諺	jiːn˨			
唁	唁	jiːn˨			
延	延	jiːn˨˩			
燃	燃	jiːn˨˩			
筵	筵	jiːn˨˩			
妍	妍	jiːn˨˩			
蜒	蜒	jiːn˨˩			
焉	焉	jiːn˨˩	心不在焉，有厚望焉	此，乃，才	
言	言	jiːn˨˩			
涎	涎	jiːn˨˩			
研	研	jiːn˨˩			
贤	賢	jiːn˨˩			
然	然	jiːn˨˩			
舷	舷	jiːn˨˩			
弦	弦	jiːn˨˩			絃
𫄧	綖	jiːn˨˩			
埏	埏	jiːn˨˩			
靥	靨	jiːp˧			
叶	葉	jiːp˨			
烨	燁	jiːp˨			
业	業	jiːp˨			
页	頁	jiːp˨			
邺	鄴	jiːp˨			
晔	曄	jiːp˨			
谒	謁	jiːt˧			
噎	噎	jiːt˧			
咽	咽	jiːt˧	哽咽，呜咽	阻塞；声音低沉、悲凄、滞涩	
热	熱	jiːt˨			
拽	拽	jiːt˨			
孽	孽	jiːt˨			
蘖	櫱	jiːt˨			
臬	臬	jiːt˨/niːp˨			
幺	么	jiːu˥			
腰	腰	jiːu˥			
妖	妖	jiːu˥			
邀	邀	jiːu˥			
吆	吆	jiːu˥			
要	要	jiːu˥	要求，要挟	求取，胁迫，强迫	
夭	夭	jiːu˥	夭夭，逃之夭夭	茂盛的样子	
要	要	jiːu˧	要紧，要点，要旨，要是，要素，要命，要塞，要好，要害，重要，主要，提要，摘要	严重，关键，紧要，需要	
扰	擾	jiːu˧˥			
夭	夭	jiːu˧˥	夭亡，夭折，夭殇，寿夭	短命，未成年而早死	
窈	窈	jiːu˧˥			
绕	繞	jiːu˧˥/jiːu˩˧			遶
